,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,UCSX,UCSX-210C-M6,Q3 FY2012,MAR FY2012,4,01-03-2021
1,CSA,UCSX,UCSX-210C-M6,Q3 FY2012,APR FY2012,4,01-04-2021
2,CSA,UCSX,UCSX-210C-M6,Q4 FY2012,MAY FY2012,9,01-05-2021
3,CSA,UCSX,UCSX-210C-M6,Q4 FY2012,JUN FY2012,60,01-06-2021
4,CSA,UCSX,UCSX-210C-M6,Q4 FY2012,JUL FY2012,892,01-07-2021
5,CSA,UCSX,UCSX-210C-M6,,,963,01-08-2021
6,CSA,UCSX,UCSX-210C-M6,,,1033,01-09-2021
7,CSA,UCSX,UCSX-210C-M6,,,1104,01-10-2021
8,CSA,UCSX,UCSX-210C-M6,,,1174,01-11-2021
9,CSA,UCSX,UCSX-210C-M6,,,1245,01-12-2021
10,CSA,UCSX,UCSX-210C-M6,Q2 FY2022,JAN FY2022,1315,01-01-2022
11,CSA,UCSX,UCSX-210C-M6,,,1165,01-02-2022
12,CSA,UCSX,UCSX-210C-M6,,,1014,01-03-2022
13,CSA,UCSX,UCSX-210C-M6,,,863,01-04-2022
14,CSA,UCSX,UCSX-210C-M6,,,713,01-05-2022
15,CSA,UCSX,UCSX-210C-M6,,,562,01-06-2022
16,CSA,UCSX,UCSX-210C-M6,,,411,01-07-2022
17,CSA,UCSX,UCSX-210C-M6,Q1 FY2022,AUG FY2022,260,01-08-2022
18,CSA,UCSX,UCSX-210C-M6,Q1 FY2022,SEP FY2022,314,01-09-2022
19,CSA,UCSX,UCSX-210C-M6,Q1 FY2022,OCT FY2022,1216,01-10-2022
20,CSA,UCSX,UCSX-210C-M6,Q2 FY2022,NOV FY2022,669,01-11-2022
