,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2008,APR FY2008,2,01-04-2018
1,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2008,MAY FY2008,14,01-05-2018
2,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2008,JUN FY2008,42,01-06-2018
3,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2008,JUL FY2008,106,01-07-2018
4,SRSBU,VIPTELA,VEDGE-2000-AC-K9,,,109,01-08-2018
5,SRSBU,VIPTELA,VEDGE-2000-AC-K9,,,111,01-09-2018
6,SRSBU,VIPTELA,VEDGE-2000-AC-K9,,,113,01-10-2018
7,SRSBU,VIPTELA,VEDGE-2000-AC-K9,,,116,01-11-2018
8,SRSBU,VIPTELA,VEDGE-2000-AC-K9,,,118,01-12-2018
9,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2007,JAN FY2007,120,01-01-2019
10,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2007,FEB FY2007,111,01-02-2019
11,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2007,MAR FY2007,190,01-03-2019
12,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2007,APR FY2007,286,01-04-2019
13,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,MAY FY2007,161,01-05-2019
14,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,JUN FY2007,212,01-06-2019
15,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,JUL FY2007,472,01-07-2019
16,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2007,AUG FY2007,56,01-08-2019
17,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2007,SEP FY2007,57,01-09-2019
18,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2007,OCT FY2007,86,01-10-2019
19,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2007,NOV FY2007,111,01-11-2019
20,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2007,DEC FY2007,102,01-12-2019
21,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2011,JAN FY2011,225,01-01-2020
22,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2011,FEB FY2011,253,01-02-2020
23,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2011,MAR FY2011,186,01-03-2020
24,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2011,APR FY2011,1139,01-04-2020
25,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2011,MAY FY2011,204,01-05-2020
26,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2011,JUN FY2011,252,01-06-2020
27,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2011,JUL FY2011,387,01-07-2020
28,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2011,AUG FY2011,229,01-08-2020
29,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2011,SEP FY2011,190,01-09-2020
30,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2011,OCT FY2011,385,01-10-2020
31,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2011,NOV FY2011,228,01-11-2020
32,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2011,DEC FY2011,239,01-12-2020
33,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q2 FY2012,JAN FY2012,178,01-01-2021
34,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2012,FEB FY2012,304,01-02-2021
35,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2012,MAR FY2012,197,01-03-2021
36,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q3 FY2012,APR FY2012,412,01-04-2021
37,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2012,MAY FY2012,136,01-05-2021
38,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2012,JUN FY2012,183,01-06-2021
39,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2012,JUL FY2012,284,01-07-2021
40,SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q1 FY2012,AUG FY2012,297,01-08-2021
