,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2014,MAR FY2014,0,01-03-2014
1,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,1,01-04-2014
2,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,1,01-05-2014
3,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,1,01-06-2014
4,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,1,01-07-2014
5,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,1,01-08-2014
6,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,2,01-09-2014
7,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,2,01-10-2014
8,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,2,01-11-2014
9,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,2,01-12-2014
10,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2015,JAN FY2015,2,01-01-2015
11,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2015,FEB FY2015,126,01-02-2015
12,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2015,MAR FY2015,450,01-03-2015
13,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2015,APR FY2015,674,01-04-2015
14,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,MAY FY2015,668,01-05-2015
15,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,JUN FY2015,1453,01-06-2015
16,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2015,JUL FY2015,4869,01-07-2015
17,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,3925,01-08-2015
18,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,2981,01-09-2015
19,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,2037,01-10-2015
20,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,,,1093,01-11-2015
21,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2015,DEC FY2015,149,01-12-2015
22,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,JAN FY2022,2079,01-01-2016
23,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2022,FEB FY2022,1815,01-02-2016
24,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2022,MAR FY2022,1635,01-03-2016
25,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2022,APR FY2022,2713,01-04-2016
26,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2022,MAY FY2022,1513,01-05-2016
27,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2022,JUN FY2022,2499,01-06-2016
28,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2022,JUL FY2022,5929,01-07-2016
29,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,AUG FY2022,550,01-08-2016
30,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,SEP FY2022,1711,01-09-2016
31,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,OCT FY2022,2160,01-10-2016
32,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,NOV FY2022,1384,01-11-2016
33,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,DEC FY2022,1429,01-12-2016
34,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2002,JAN FY2002,3377,01-01-2017
35,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2002,FEB FY2002,2297,01-02-2017
36,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2002,MAR FY2002,3026,01-03-2017
37,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2002,APR FY2002,3383,01-04-2017
38,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2002,MAY FY2002,3423,01-05-2017
39,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2002,JUN FY2002,2694,01-06-2017
40,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q4 FY2002,JUL FY2002,5728,01-07-2017
41,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2002,AUG FY2002,1392,01-08-2017
42,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2002,SEP FY2002,1697,01-09-2017
