,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2022,APR FY2022,115,01-04-2016
1,UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2022,MAY FY2022,66,01-05-2016
2,UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2022,JUN FY2022,210,01-06-2016
3,UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2022,JUL FY2022,1100,01-07-2016
4,UOPBLRBU,C3650,WS-C3650-48FQM,,,1016,01-08-2016
5,UOPBLRBU,C3650,WS-C3650-48FQM,,,932,01-09-2016
6,UOPBLRBU,C3650,WS-C3650-48FQM,,,847,01-10-2016
7,UOPBLRBU,C3650,WS-C3650-48FQM,,,763,01-11-2016
8,UOPBLRBU,C3650,WS-C3650-48FQM,,,679,01-12-2016
9,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,JAN FY2002,594,01-01-2017
10,UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2002,FEB FY2002,249,01-02-2017
11,UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2002,MAR FY2002,169,01-03-2017
12,UOPBLRBU,C3650,WS-C3650-48FQM,Q3 FY2002,APR FY2002,479,01-04-2017
13,UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2002,MAY FY2002,345,01-05-2017
14,UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2002,JUN FY2002,342,01-06-2017
15,UOPBLRBU,C3650,WS-C3650-48FQM,Q4 FY2002,JUL FY2002,639,01-07-2017
16,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,AUG FY2002,102,01-08-2017
17,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,SEP FY2002,143,01-09-2017
18,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,OCT FY2002,511,01-10-2017
19,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,NOV FY2002,161,01-11-2017
20,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,DEC FY2002,488,01-12-2017
