Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,8000,88-LC0-36FH,Q3 FY2012,MAR FY2012,72,2021-03-01
CRBU,8000,88-LC0-36FH,Q3 FY2012,APR FY2012,2,2021-04-01
CRBU,8000,88-LC0-36FH,Q4 FY2012,MAY FY2012,58,2021-05-01
CRBU,8000,88-LC0-36FH,Q4 FY2012,JUN FY2012,0,2021-06-01
CRBU,8000,88-LC0-36FH,Q4 FY2012,JUL FY2012,2,2021-07-01
CRBU,8000,88-LC0-36FH,Q2 FY2022,JAN FY2022,134,2022-01-01
CRBU,8000,88-LC0-36FH,Q1 FY2022,AUG FY2022,45,2022-08-01
CRBU,8000,88-LC0-36FH,Q1 FY2022,SEP FY2022,68,2022-09-01
CRBU,8000,88-LC0-36FH,Q1 FY2022,OCT FY2022,262,2022-10-01
CRBU,8000,88-LC0-36FH,Q2 FY2022,NOV FY2022,45,2022-11-01
CRBU,8000,88-LC0-36FH,Q2 FY2022,DEC FY2022,161,2022-12-01
