Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,8000,8800-LC-36FH,Q3 FY2011,FEB FY2011,1,2020-02-01
CRBU,8000,8800-LC-36FH,Q3 FY2011,MAR FY2011,1,2020-03-01
CRBU,8000,8800-LC-36FH,Q3 FY2011,APR FY2011,9,2020-04-01
CRBU,8000,8800-LC-36FH,Q4 FY2011,MAY FY2011,24,2020-05-01
CRBU,8000,8800-LC-36FH,Q4 FY2011,JUN FY2011,0,2020-06-01
CRBU,8000,8800-LC-36FH,Q4 FY2011,JUL FY2011,5,2020-07-01
CRBU,8000,8800-LC-36FH,Q2 FY2012,JAN FY2012,7,2021-01-01
CRBU,8000,8800-LC-36FH,Q3 FY2012,FEB FY2012,24,2021-02-01
CRBU,8000,8800-LC-36FH,Q3 FY2012,MAR FY2012,43,2021-03-01
CRBU,8000,8800-LC-36FH,Q3 FY2012,APR FY2012,72,2021-04-01
CRBU,8000,8800-LC-36FH,Q4 FY2012,MAY FY2012,21,2021-05-01
CRBU,8000,8800-LC-36FH,Q4 FY2012,JUN FY2012,4,2021-06-01
CRBU,8000,8800-LC-36FH,Q4 FY2012,JUL FY2012,52,2021-07-01
CRBU,8000,8800-LC-36FH,Q1 FY2012,AUG FY2012,9,2021-08-01
CRBU,8000,8800-LC-36FH,Q1 FY2012,SEP FY2012,8,2021-09-01
CRBU,8000,8800-LC-36FH,Q1 FY2012,OCT FY2012,1,2021-10-01
CRBU,8000,8800-LC-36FH,Q2 FY2012,NOV FY2012,6,2021-11-01
CRBU,8000,8800-LC-36FH,Q2 FY2012,DEC FY2012,52,2021-12-01
CRBU,8000,8800-LC-36FH,Q2 FY2022,JAN FY2022,456,2022-01-01
CRBU,8000,8800-LC-36FH,Q1 FY2022,AUG FY2022,122,2022-08-01
CRBU,8000,8800-LC-36FH,Q1 FY2022,SEP FY2022,182,2022-09-01
CRBU,8000,8800-LC-36FH,Q1 FY2022,OCT FY2022,436,2022-10-01
CRBU,8000,8800-LC-36FH,Q2 FY2022,NOV FY2022,249,2022-11-01
CRBU,8000,8800-LC-36FH,Q2 FY2022,DEC FY2022,7,2022-12-01
