Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,8000,8812-SYS,Q4 FY2011,JUN FY2011,0,2020-06-01
CRBU,8000,8812-SYS,Q4 FY2011,JUL FY2011,1,2020-07-01
CRBU,8000,8812-SYS,Q2 FY2012,JAN FY2012,2,2021-01-01
CRBU,8000,8812-SYS,Q3 FY2012,MAR FY2012,2,2021-03-01
CRBU,8000,8812-SYS,Q3 FY2012,APR FY2012,0,2021-04-01
CRBU,8000,8812-SYS,Q4 FY2012,MAY FY2012,4,2021-05-01
CRBU,8000,8812-SYS,Q4 FY2012,JUN FY2012,2,2021-06-01
CRBU,8000,8812-SYS,Q4 FY2012,JUL FY2012,3,2021-07-01
CRBU,8000,8812-SYS,Q1 FY2012,AUG FY2012,1,2021-08-01
CRBU,8000,8812-SYS,Q1 FY2012,SEP FY2012,0,2021-09-01
CRBU,8000,8812-SYS,Q2 FY2012,NOV FY2012,2,2021-11-01
CRBU,8000,8812-SYS,Q2 FY2012,DEC FY2012,8,2021-12-01
CRBU,8000,8812-SYS,Q2 FY2022,JAN FY2022,9,2022-01-01
CRBU,8000,8812-SYS,Q1 FY2022,AUG FY2022,0,2022-08-01
CRBU,8000,8812-SYS,Q1 FY2022,OCT FY2022,31,2022-10-01
CRBU,8000,8812-SYS,Q2 FY2022,NOV FY2022,44,2022-11-01
CRBU,8000,8812-SYS,Q2 FY2022,DEC FY2022,4,2022-12-01
