Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,NCS560,A900-IMA-8Z,Q2 FY2007,JAN FY2007,4,2019-01-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2007,FEB FY2007,52,2019-02-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2007,MAR FY2007,4,2019-03-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2007,APR FY2007,92,2019-04-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,MAY FY2007,2,2019-05-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,JUN FY2007,76,2019-06-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,JUL FY2007,237,2019-07-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2007,DEC FY2007,6,2019-12-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2011,JAN FY2011,2840,2020-01-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2011,FEB FY2011,1484,2020-02-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2011,MAR FY2011,432,2020-03-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2011,APR FY2011,830,2020-04-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2011,MAY FY2011,2496,2020-05-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2011,JUN FY2011,24,2020-06-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2011,JUL FY2011,312,2020-07-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2011,AUG FY2011,27,2020-08-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2011,SEP FY2011,135,2020-09-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2011,OCT FY2011,1299,2020-10-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2011,NOV FY2011,4260,2020-11-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2011,DEC FY2011,2871,2020-12-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2012,JAN FY2012,438,2021-01-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2012,FEB FY2012,380,2021-02-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2012,MAR FY2012,1393,2021-03-01
BATBU,NCS560,A900-IMA-8Z,Q3 FY2012,APR FY2012,835,2021-04-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2012,MAY FY2012,183,2021-05-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2012,JUN FY2012,2,2021-06-01
BATBU,NCS560,A900-IMA-8Z,Q4 FY2012,JUL FY2012,1244,2021-07-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2012,AUG FY2012,3656,2021-08-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2012,SEP FY2012,196,2021-09-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2012,OCT FY2012,242,2021-10-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2012,NOV FY2012,233,2021-11-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2012,DEC FY2012,150,2021-12-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2022,JAN FY2022,1809,2022-01-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2022,AUG FY2022,179,2022-08-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2022,SEP FY2022,50,2022-09-01
BATBU,NCS560,A900-IMA-8Z,Q1 FY2022,OCT FY2022,392,2022-10-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2022,NOV FY2022,208,2022-11-01
BATBU,NCS560,A900-IMA-8Z,Q2 FY2022,DEC FY2022,5444,2022-12-01
