Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2002,FEB FY2002,0,2017-02-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2002,MAR FY2002,31,2017-03-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2002,APR FY2002,1,2017-04-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2002,MAY FY2002,16,2017-05-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2002,JUN FY2002,8,2017-06-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2002,JUL FY2002,40,2017-07-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2008,JAN FY2008,117,2018-01-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2008,FEB FY2008,159,2018-02-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2008,MAR FY2008,117,2018-03-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2008,APR FY2008,240,2018-04-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2008,MAY FY2008,40,2018-05-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2008,JUN FY2008,101,2018-06-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2008,JUL FY2008,320,2018-07-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2008,AUG FY2008,2,2018-08-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2008,SEP FY2008,13,2018-09-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2008,OCT FY2008,179,2018-10-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2008,NOV FY2008,62,2018-11-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2008,DEC FY2008,114,2018-12-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2007,JAN FY2007,193,2019-01-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2007,FEB FY2007,72,2019-02-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2007,MAR FY2007,110,2019-03-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2007,APR FY2007,476,2019-04-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,MAY FY2007,68,2019-05-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,JUN FY2007,197,2019-06-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,JUL FY2007,531,2019-07-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2007,AUG FY2007,92,2019-08-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2007,SEP FY2007,37,2019-09-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2007,OCT FY2007,127,2019-10-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2007,NOV FY2007,140,2019-11-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2007,DEC FY2007,118,2019-12-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2011,JAN FY2011,145,2020-01-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2011,FEB FY2011,271,2020-02-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2011,MAR FY2011,150,2020-03-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2011,APR FY2011,418,2020-04-01
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2011,MAY FY2011,106,2020-05-01
