Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2015,APR FY2015,63,2015-04-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,MAY FY2015,3,2015-05-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,JUN FY2015,222,2015-06-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,JUL FY2015,26,2015-07-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2022,JAN FY2022,190,2016-01-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2022,FEB FY2022,152,2016-02-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2022,MAR FY2022,42,2016-03-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2022,APR FY2022,138,2016-04-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2022,MAY FY2022,82,2016-05-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2022,JUN FY2022,26,2016-06-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2022,JUL FY2022,128,2016-07-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,AUG FY2022,15,2016-08-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,SEP FY2022,6,2016-09-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,OCT FY2022,116,2016-10-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2022,NOV FY2022,49,2016-11-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2022,DEC FY2022,56,2016-12-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2002,JAN FY2002,192,2017-01-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2002,FEB FY2002,54,2017-02-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2002,MAR FY2002,99,2017-03-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2002,APR FY2002,172,2017-04-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2002,MAY FY2002,62,2017-05-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2002,JUN FY2002,38,2017-06-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2002,JUL FY2002,110,2017-07-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2002,AUG FY2002,6,2017-08-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2002,SEP FY2002,18,2017-09-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2002,OCT FY2002,64,2017-10-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2002,NOV FY2002,18,2017-11-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2002,DEC FY2002,94,2017-12-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2008,JAN FY2008,222,2018-01-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2008,FEB FY2008,94,2018-02-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2008,MAR FY2008,95,2018-03-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2008,APR FY2008,162,2018-04-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2008,MAY FY2008,80,2018-05-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2008,JUN FY2008,72,2018-06-01
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2008,JUL FY2008,86,2018-07-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2008,AUG FY2008,19,2018-08-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2008,SEP FY2008,35,2018-09-01
ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2008,OCT FY2008,83,2018-10-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2008,NOV FY2008,46,2018-11-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2008,DEC FY2008,15,2018-12-01
ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2007,JAN FY2007,198,2019-01-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2007,FEB FY2007,13,2019-02-01
ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2007,MAR FY2007,87,2019-03-01
