Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2015,JAN FY2015,79,2015-01-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2015,FEB FY2015,11,2015-02-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2015,MAR FY2015,355,2015-03-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2015,APR FY2015,217,2015-04-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2015,MAY FY2015,158,2015-05-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2015,JUN FY2015,333,2015-06-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2015,JUL FY2015,601,2015-07-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2015,AUG FY2015,91,2015-08-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2015,SEP FY2015,118,2015-09-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2015,OCT FY2015,159,2015-10-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2015,NOV FY2015,121,2015-11-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2015,DEC FY2015,63,2015-12-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2022,JAN FY2022,368,2016-01-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2022,FEB FY2022,629,2016-02-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2022,MAR FY2022,557,2016-03-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2022,APR FY2022,456,2016-04-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2022,MAY FY2022,259,2016-05-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2022,JUN FY2022,585,2016-06-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2022,JUL FY2022,1593,2016-07-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,AUG FY2022,151,2016-08-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,SEP FY2022,130,2016-09-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,OCT FY2022,587,2016-10-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2022,NOV FY2022,338,2016-11-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2022,DEC FY2022,708,2016-12-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2002,JAN FY2002,868,2017-01-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2002,FEB FY2002,574,2017-02-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2002,MAR FY2002,945,2017-03-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2002,APR FY2002,686,2017-04-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2002,MAY FY2002,349,2017-05-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2002,JUN FY2002,501,2017-06-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2002,JUL FY2002,870,2017-07-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2002,AUG FY2002,230,2017-08-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2002,SEP FY2002,324,2017-09-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2002,OCT FY2002,968,2017-10-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2002,NOV FY2002,353,2017-11-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2002,DEC FY2002,560,2017-12-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2008,JAN FY2008,1044,2018-01-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2008,FEB FY2008,1388,2018-02-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2008,MAR FY2008,1305,2018-03-01
BATBU,A9K920,A9K-920-12CZ-A,Q3 FY2008,APR FY2008,2496,2018-04-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2008,MAY FY2008,1012,2018-05-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2008,JUN FY2008,1000,2018-06-01
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2008,JUL FY2008,3302,2018-07-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2008,AUG FY2008,251,2018-08-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2008,SEP FY2008,991,2018-09-01
BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2008,OCT FY2008,964,2018-10-01
BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2008,NOV FY2008,1201,2018-11-01
