Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2022,JAN FY2022,22,2016-01-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2022,FEB FY2022,76,2016-02-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2022,MAR FY2022,280,2016-03-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2022,APR FY2022,354,2016-04-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2022,MAY FY2022,95,2016-05-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2022,JUN FY2022,161,2016-06-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2022,JUL FY2022,51,2016-07-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2022,AUG FY2022,1,2016-08-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2022,SEP FY2022,32,2016-09-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2022,OCT FY2022,1390,2016-10-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2022,NOV FY2022,9,2016-11-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2022,DEC FY2022,34,2016-12-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2002,JAN FY2002,318,2017-01-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2002,FEB FY2002,169,2017-02-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2002,MAR FY2002,801,2017-03-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2002,APR FY2002,613,2017-04-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2002,MAY FY2002,252,2017-05-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2002,JUN FY2002,266,2017-06-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2002,JUL FY2002,397,2017-07-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2002,AUG FY2002,20,2017-08-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2002,SEP FY2002,276,2017-09-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2002,OCT FY2002,243,2017-10-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2002,NOV FY2002,406,2017-11-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2002,DEC FY2002,121,2017-12-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2008,JAN FY2008,989,2018-01-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2008,FEB FY2008,506,2018-02-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2008,MAR FY2008,413,2018-03-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2008,APR FY2008,748,2018-04-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2008,MAY FY2008,634,2018-05-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2008,JUN FY2008,374,2018-06-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2008,JUL FY2008,620,2018-07-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2008,AUG FY2008,70,2018-08-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2008,SEP FY2008,1229,2018-09-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2008,OCT FY2008,304,2018-10-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2008,NOV FY2008,44,2018-11-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2008,DEC FY2008,813,2018-12-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2007,JAN FY2007,174,2019-01-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2007,FEB FY2007,318,2019-02-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2007,MAR FY2007,103,2019-03-01
BATBU,A9K920,A9K-920-12SZ-IM,Q3 FY2007,APR FY2007,707,2019-04-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2007,MAY FY2007,83,2019-05-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2007,JUN FY2007,381,2019-06-01
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2007,JUL FY2007,532,2019-07-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2007,AUG FY2007,249,2019-08-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2007,SEP FY2007,276,2019-09-01
BATBU,A9K920,A9K-920-12SZ-IM,Q1 FY2007,OCT FY2007,573,2019-10-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2007,NOV FY2007,562,2019-11-01
BATBU,A9K920,A9K-920-12SZ-IM,Q2 FY2007,DEC FY2007,110,2019-12-01
