Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2015,JAN FY2015,179,2015-01-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,FEB FY2015,397,2015-02-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,MAR FY2015,26,2015-03-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,APR FY2015,94,2015-04-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,MAY FY2015,59,2015-05-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,JUN FY2015,62,2015-06-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,JUL FY2015,330,2015-07-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,AUG FY2015,0,2015-08-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,SEP FY2015,0,2015-09-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,OCT FY2015,4,2015-10-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2015,NOV FY2015,5,2015-11-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2015,DEC FY2015,450,2015-12-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2022,JAN FY2022,6,2016-01-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2022,FEB FY2022,17,2016-02-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2022,MAR FY2022,20,2016-03-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2022,APR FY2022,522,2016-04-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2022,MAY FY2022,172,2016-05-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2022,JUN FY2022,284,2016-06-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2022,JUL FY2022,146,2016-07-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,AUG FY2022,2,2016-08-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,SEP FY2022,34,2016-09-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,OCT FY2022,206,2016-10-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2022,NOV FY2022,335,2016-11-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2022,DEC FY2022,621,2016-12-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2002,JAN FY2002,12,2017-01-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2002,FEB FY2002,43,2017-02-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2002,MAR FY2002,132,2017-03-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2002,APR FY2002,22,2017-04-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2002,MAY FY2002,13,2017-05-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2002,JUN FY2002,38,2017-06-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2002,JUL FY2002,158,2017-07-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2002,AUG FY2002,15,2017-08-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2002,SEP FY2002,11,2017-09-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2002,OCT FY2002,19,2017-10-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2002,NOV FY2002,56,2017-11-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2002,DEC FY2002,140,2017-12-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2008,JAN FY2008,34,2018-01-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2008,FEB FY2008,37,2018-02-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2008,MAR FY2008,62,2018-03-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2008,APR FY2008,126,2018-04-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2008,MAY FY2008,13,2018-05-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2008,JUN FY2008,72,2018-06-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2008,JUL FY2008,39,2018-07-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2008,AUG FY2008,14,2018-08-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2008,SEP FY2008,7,2018-09-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2008,OCT FY2008,152,2018-10-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2008,NOV FY2008,157,2018-11-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2008,DEC FY2008,34,2018-12-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2007,JAN FY2007,23,2019-01-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2007,FEB FY2007,24,2019-02-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2007,MAR FY2007,248,2019-03-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2007,APR FY2007,48,2019-04-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2007,MAY FY2007,12,2019-05-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2007,JUN FY2007,24,2019-06-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2007,JUL FY2007,9,2019-07-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2007,AUG FY2007,5,2019-08-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2007,SEP FY2007,128,2019-09-01
BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2007,OCT FY2007,61,2019-10-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2007,NOV FY2007,92,2019-11-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2007,DEC FY2007,32,2019-12-01
BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2011,JAN FY2011,389,2020-01-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2011,FEB FY2011,23,2020-02-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2011,MAR FY2011,9,2020-03-01
BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2011,APR FY2011,67,2020-04-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2011,MAY FY2011,43,2020-05-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2011,JUN FY2011,66,2020-06-01
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2011,JUL FY2011,118,2020-07-01
