Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
ERBU,A9K9000,A9K-9901,Q2 FY2008,JAN FY2008,1,2018-01-01
ERBU,A9K9000,A9K-9901,Q3 FY2008,FEB FY2008,1,2018-02-01
ERBU,A9K9000,A9K-9901,Q3 FY2008,MAR FY2008,78,2018-03-01
ERBU,A9K9000,A9K-9901,Q3 FY2008,APR FY2008,44,2018-04-01
ERBU,A9K9000,A9K-9901,Q4 FY2008,MAY FY2008,30,2018-05-01
ERBU,A9K9000,A9K-9901,Q4 FY2008,JUN FY2008,49,2018-06-01
ERBU,A9K9000,A9K-9901,Q4 FY2008,JUL FY2008,162,2018-07-01
ERBU,A9K9000,A9K-9901,Q2 FY2007,JAN FY2007,139,2019-01-01
ERBU,A9K9000,A9K-9901,Q3 FY2007,FEB FY2007,92,2019-02-01
ERBU,A9K9000,A9K-9901,Q3 FY2007,MAR FY2007,133,2019-03-01
ERBU,A9K9000,A9K-9901,Q3 FY2007,APR FY2007,205,2019-04-01
ERBU,A9K9000,A9K-9901,Q4 FY2007,MAY FY2007,106,2019-05-01
ERBU,A9K9000,A9K-9901,Q4 FY2007,JUN FY2007,56,2019-06-01
ERBU,A9K9000,A9K-9901,Q4 FY2007,JUL FY2007,328,2019-07-01
ERBU,A9K9000,A9K-9901,Q1 FY2007,AUG FY2007,43,2019-08-01
ERBU,A9K9000,A9K-9901,Q1 FY2007,SEP FY2007,51,2019-09-01
ERBU,A9K9000,A9K-9901,Q1 FY2007,OCT FY2007,160,2019-10-01
ERBU,A9K9000,A9K-9901,Q2 FY2007,NOV FY2007,196,2019-11-01
ERBU,A9K9000,A9K-9901,Q2 FY2007,DEC FY2007,118,2019-12-01
ERBU,A9K9000,A9K-9901,Q2 FY2011,JAN FY2011,114,2020-01-01
ERBU,A9K9000,A9K-9901,Q3 FY2011,FEB FY2011,152,2020-02-01
ERBU,A9K9000,A9K-9901,Q3 FY2011,MAR FY2011,114,2020-03-01
ERBU,A9K9000,A9K-9901,Q3 FY2011,APR FY2011,312,2020-04-01
ERBU,A9K9000,A9K-9901,Q4 FY2011,MAY FY2011,108,2020-05-01
ERBU,A9K9000,A9K-9901,Q4 FY2011,JUN FY2011,90,2020-06-01
ERBU,A9K9000,A9K-9901,Q4 FY2011,JUL FY2011,384,2020-07-01
ERBU,A9K9000,A9K-9901,Q1 FY2011,AUG FY2011,30,2020-08-01
ERBU,A9K9000,A9K-9901,Q1 FY2011,SEP FY2011,67,2020-09-01
ERBU,A9K9000,A9K-9901,Q1 FY2011,OCT FY2011,207,2020-10-01
ERBU,A9K9000,A9K-9901,Q2 FY2011,NOV FY2011,159,2020-11-01
ERBU,A9K9000,A9K-9901,Q2 FY2011,DEC FY2011,155,2020-12-01
ERBU,A9K9000,A9K-9901,Q2 FY2012,JAN FY2012,289,2021-01-01
ERBU,A9K9000,A9K-9901,Q3 FY2012,FEB FY2012,160,2021-02-01
ERBU,A9K9000,A9K-9901,Q3 FY2012,MAR FY2012,254,2021-03-01
ERBU,A9K9000,A9K-9901,Q3 FY2012,APR FY2012,279,2021-04-01
ERBU,A9K9000,A9K-9901,Q4 FY2012,MAY FY2012,119,2021-05-01
ERBU,A9K9000,A9K-9901,Q4 FY2012,JUN FY2012,155,2021-06-01
ERBU,A9K9000,A9K-9901,Q4 FY2012,JUL FY2012,331,2021-07-01
ERBU,A9K9000,A9K-9901,Q1 FY2012,AUG FY2012,99,2021-08-01
ERBU,A9K9000,A9K-9901,Q1 FY2012,SEP FY2012,148,2021-09-01
ERBU,A9K9000,A9K-9901,Q1 FY2012,OCT FY2012,224,2021-10-01
ERBU,A9K9000,A9K-9901,Q2 FY2012,NOV FY2012,123,2021-11-01
ERBU,A9K9000,A9K-9901,Q2 FY2012,DEC FY2012,129,2021-12-01
ERBU,A9K9000,A9K-9901,Q2 FY2022,JAN FY2022,321,2022-01-01
ERBU,A9K9000,A9K-9901,Q1 FY2022,AUG FY2022,54,2022-08-01
ERBU,A9K9000,A9K-9901,Q1 FY2022,SEP FY2022,137,2022-09-01
ERBU,A9K9000,A9K-9901,Q1 FY2022,OCT FY2022,308,2022-10-01
ERBU,A9K9000,A9K-9901,Q2 FY2022,NOV FY2022,145,2022-11-01
ERBU,A9K9000,A9K-9901,Q2 FY2022,DEC FY2022,317,2022-12-01
