Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2007,JAN FY2007,78,2019-01-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2007,FEB FY2007,226,2019-02-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2007,MAR FY2007,57,2019-03-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2007,APR FY2007,147,2019-04-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2007,MAY FY2007,105,2019-05-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2007,JUN FY2007,70,2019-06-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2007,JUL FY2007,460,2019-07-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2007,SEP FY2007,2,2019-09-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2007,OCT FY2007,76,2019-10-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2007,NOV FY2007,13,2019-11-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2007,DEC FY2007,43,2019-12-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2011,JAN FY2011,318,2020-01-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2011,FEB FY2011,112,2020-02-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2011,MAR FY2011,48,2020-03-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2011,APR FY2011,324,2020-04-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2011,MAY FY2011,115,2020-05-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2011,JUN FY2011,106,2020-06-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2011,JUL FY2011,686,2020-07-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2011,AUG FY2011,49,2020-08-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2011,SEP FY2011,135,2020-09-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2011,OCT FY2011,318,2020-10-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2011,NOV FY2011,196,2020-11-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2011,DEC FY2011,117,2020-12-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2012,JAN FY2012,329,2021-01-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2012,FEB FY2012,100,2021-02-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2012,MAR FY2012,229,2021-03-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q3 FY2012,APR FY2012,106,2021-04-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2012,MAY FY2012,178,2021-05-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2012,JUN FY2012,302,2021-06-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2012,JUL FY2012,513,2021-07-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2012,AUG FY2012,3,2021-08-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2012,SEP FY2012,41,2021-09-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2012,OCT FY2012,250,2021-10-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2012,NOV FY2012,114,2021-11-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2012,DEC FY2012,344,2021-12-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2022,JAN FY2022,921,2022-01-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2022,AUG FY2022,201,2022-08-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2022,SEP FY2022,138,2022-09-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q1 FY2022,OCT FY2022,624,2022-10-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2022,NOV FY2022,199,2022-11-01
ERBU,A9K9KFM,A9K-RSP5-TR,Q2 FY2022,DEC FY2022,142,2022-12-01
