Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2015,JAN FY2015,41,2015-01-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2015,FEB FY2015,14,2015-02-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2015,MAR FY2015,53,2015-03-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2015,APR FY2015,43,2015-04-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2015,MAY FY2015,9,2015-05-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2015,JUN FY2015,20,2015-06-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2015,JUL FY2015,22,2015-07-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2022,JAN FY2022,156,2016-01-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2022,FEB FY2022,35,2016-02-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2022,MAR FY2022,66,2016-03-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2022,APR FY2022,188,2016-04-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2022,MAY FY2022,267,2016-05-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2022,JUN FY2022,204,2016-06-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2022,JUL FY2022,214,2016-07-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,AUG FY2022,94,2016-08-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,SEP FY2022,84,2016-09-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,OCT FY2022,110,2016-10-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2022,NOV FY2022,135,2016-11-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2022,DEC FY2022,120,2016-12-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2002,JAN FY2002,320,2017-01-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2002,FEB FY2002,522,2017-02-01
ERBU,A9K9KFM,A9K-RSP880-SE,Q3 FY2002,MAR FY2002,191,2017-03-01
