Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
SRSBU,A9K1000,A9K1002-HX,Q3 FY2022,APR FY2022,32,2016-04-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2022,MAY FY2022,2,2016-05-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2022,JUN FY2022,13,2016-06-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2022,JUL FY2022,155,2016-07-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2002,JAN FY2002,154,2017-01-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2002,FEB FY2002,72,2017-02-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2002,MAR FY2002,124,2017-03-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2002,APR FY2002,242,2017-04-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2002,MAY FY2002,136,2017-05-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2002,JUN FY2002,164,2017-06-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2002,JUL FY2002,295,2017-07-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2002,AUG FY2002,68,2017-08-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2002,SEP FY2002,94,2017-09-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2002,OCT FY2002,202,2017-10-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2002,NOV FY2002,93,2017-11-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2002,DEC FY2002,163,2017-12-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2008,JAN FY2008,194,2018-01-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2008,FEB FY2008,155,2018-02-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2008,MAR FY2008,248,2018-03-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2008,APR FY2008,384,2018-04-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2008,MAY FY2008,157,2018-05-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2008,JUN FY2008,221,2018-06-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2008,JUL FY2008,450,2018-07-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2008,AUG FY2008,102,2018-08-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2008,SEP FY2008,216,2018-09-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2008,OCT FY2008,397,2018-10-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2008,NOV FY2008,195,2018-11-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2008,DEC FY2008,202,2018-12-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2007,JAN FY2007,246,2019-01-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2007,FEB FY2007,260,2019-02-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2007,MAR FY2007,327,2019-03-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2007,APR FY2007,372,2019-04-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2007,MAY FY2007,185,2019-05-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2007,JUN FY2007,255,2019-06-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2007,JUL FY2007,520,2019-07-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2007,AUG FY2007,211,2019-08-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2007,SEP FY2007,219,2019-09-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2007,OCT FY2007,399,2019-10-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2007,NOV FY2007,456,2019-11-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2007,DEC FY2007,254,2019-12-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2011,JAN FY2011,336,2020-01-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2011,FEB FY2011,142,2020-02-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2011,MAR FY2011,226,2020-03-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2011,APR FY2011,374,2020-04-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2011,MAY FY2011,272,2020-05-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2011,JUN FY2011,207,2020-06-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2011,JUL FY2011,480,2020-07-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2011,AUG FY2011,195,2020-08-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2011,SEP FY2011,204,2020-09-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2011,OCT FY2011,427,2020-10-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2011,NOV FY2011,201,2020-11-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2011,DEC FY2011,302,2020-12-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2012,JAN FY2012,250,2021-01-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2012,FEB FY2012,300,2021-02-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2012,MAR FY2012,235,2021-03-01
SRSBU,A9K1000,A9K1002-HX,Q3 FY2012,APR FY2012,327,2021-04-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2012,MAY FY2012,337,2021-05-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2012,JUN FY2012,213,2021-06-01
SRSBU,A9K1000,A9K1002-HX,Q4 FY2012,JUL FY2012,434,2021-07-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2012,AUG FY2012,198,2021-08-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2012,SEP FY2012,290,2021-09-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2012,OCT FY2012,448,2021-10-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2012,NOV FY2012,252,2021-11-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2012,DEC FY2012,257,2021-12-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2022,JAN FY2022,227,2022-01-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2022,AUG FY2022,197,2022-08-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2022,SEP FY2022,206,2022-09-01
SRSBU,A9K1000,A9K1002-HX,Q1 FY2022,OCT FY2022,294,2022-10-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2022,NOV FY2022,160,2022-11-01
SRSBU,A9K1000,A9K1002-HX,Q2 FY2022,DEC FY2022,158,2022-12-01
