Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2008,JAN FY2008,5,2018-01-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2008,FEB FY2008,290,2018-02-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2008,MAR FY2008,71,2018-03-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2008,APR FY2008,248,2018-04-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2008,MAY FY2008,57,2018-05-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2008,JUN FY2008,981,2018-06-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2008,JUL FY2008,3971,2018-07-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2008,OCT FY2008,1704,2018-10-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2008,NOV FY2008,53,2018-11-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2008,DEC FY2008,80,2018-12-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2007,JAN FY2007,2034,2019-01-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2007,FEB FY2007,2083,2019-02-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2007,MAR FY2007,672,2019-03-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2007,APR FY2007,14850,2019-04-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,MAY FY2007,1832,2019-05-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,JUN FY2007,2557,2019-06-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,JUL FY2007,4376,2019-07-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2007,AUG FY2007,729,2019-08-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2007,SEP FY2007,716,2019-09-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2007,OCT FY2007,722,2019-10-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2007,NOV FY2007,1140,2019-11-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2007,DEC FY2007,1998,2019-12-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2011,JAN FY2011,3025,2020-01-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2011,FEB FY2011,3965,2020-02-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2011,MAR FY2011,7596,2020-03-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2011,APR FY2011,4144,2020-04-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2011,MAY FY2011,2139,2020-05-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2011,JUN FY2011,2303,2020-06-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2011,JUL FY2011,2447,2020-07-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2011,AUG FY2011,1849,2020-08-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2011,SEP FY2011,2518,2020-09-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2011,OCT FY2011,3952,2020-10-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2011,NOV FY2011,2777,2020-11-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2011,DEC FY2011,4861,2020-12-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2012,JAN FY2012,2131,2021-01-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2012,FEB FY2012,2096,2021-02-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2012,MAR FY2012,4155,2021-03-01
SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2012,APR FY2012,2799,2021-04-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2012,MAY FY2012,3837,2021-05-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2012,JUN FY2012,4864,2021-06-01
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2012,JUL FY2012,5531,2021-07-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2012,AUG FY2012,2289,2021-08-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2012,SEP FY2012,2240,2021-09-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2012,OCT FY2012,3330,2021-10-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2012,NOV FY2012,2493,2021-11-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2012,DEC FY2012,2265,2021-12-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2022,JAN FY2022,1944,2022-01-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2022,AUG FY2022,5032,2022-08-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2022,SEP FY2022,3716,2022-09-01
SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2022,OCT FY2022,4316,2022-10-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2022,NOV FY2022,5168,2022-11-01
SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2022,DEC FY2022,4928,2022-12-01
