Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
SRSBU,CAT8300,C8300-2N2S-4T2X,Q4 FY2011,JUN FY2011,4,2020-06-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q4 FY2011,JUL FY2011,3,2020-07-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q2 FY2012,JAN FY2012,43,2021-01-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q3 FY2012,FEB FY2012,63,2021-02-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q3 FY2012,MAR FY2012,38,2021-03-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q3 FY2012,APR FY2012,173,2021-04-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q4 FY2012,MAY FY2012,189,2021-05-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q4 FY2012,JUN FY2012,143,2021-06-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q4 FY2012,JUL FY2012,619,2021-07-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q1 FY2012,AUG FY2012,1,2021-08-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q1 FY2012,SEP FY2012,2,2021-09-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q1 FY2012,OCT FY2012,0,2021-10-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q2 FY2012,NOV FY2012,7,2021-11-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q2 FY2012,DEC FY2012,31,2021-12-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q2 FY2022,JAN FY2022,448,2022-01-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q1 FY2022,AUG FY2022,259,2022-08-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q1 FY2022,SEP FY2022,342,2022-09-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q1 FY2022,OCT FY2022,302,2022-10-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q2 FY2022,NOV FY2022,327,2022-11-01
SRSBU,CAT8300,C8300-2N2S-4T2X,Q2 FY2022,DEC FY2022,396,2022-12-01
