Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
SRSBU,CAT8500,C8500-12X4QC,Q4 FY2011,JUN FY2011,4,2020-06-01
SRSBU,CAT8500,C8500-12X4QC,Q4 FY2011,JUL FY2011,0,2020-07-01
SRSBU,CAT8500,C8500-12X4QC,Q2 FY2012,JAN FY2012,69,2021-01-01
SRSBU,CAT8500,C8500-12X4QC,Q3 FY2012,FEB FY2012,33,2021-02-01
SRSBU,CAT8500,C8500-12X4QC,Q3 FY2012,MAR FY2012,119,2021-03-01
SRSBU,CAT8500,C8500-12X4QC,Q3 FY2012,APR FY2012,134,2021-04-01
SRSBU,CAT8500,C8500-12X4QC,Q4 FY2012,MAY FY2012,70,2021-05-01
SRSBU,CAT8500,C8500-12X4QC,Q4 FY2012,JUN FY2012,113,2021-06-01
SRSBU,CAT8500,C8500-12X4QC,Q4 FY2012,JUL FY2012,280,2021-07-01
SRSBU,CAT8500,C8500-12X4QC,Q1 FY2012,AUG FY2012,2,2021-08-01
SRSBU,CAT8500,C8500-12X4QC,Q1 FY2012,SEP FY2012,1,2021-09-01
SRSBU,CAT8500,C8500-12X4QC,Q1 FY2012,OCT FY2012,5,2021-10-01
SRSBU,CAT8500,C8500-12X4QC,Q2 FY2012,NOV FY2012,2,2021-11-01
SRSBU,CAT8500,C8500-12X4QC,Q2 FY2012,DEC FY2012,18,2021-12-01
SRSBU,CAT8500,C8500-12X4QC,Q2 FY2022,JAN FY2022,257,2022-01-01
SRSBU,CAT8500,C8500-12X4QC,Q1 FY2022,AUG FY2022,126,2022-08-01
SRSBU,CAT8500,C8500-12X4QC,Q1 FY2022,SEP FY2022,73,2022-09-01
SRSBU,CAT8500,C8500-12X4QC,Q1 FY2022,OCT FY2022,217,2022-10-01
SRSBU,CAT8500,C8500-12X4QC,Q2 FY2022,NOV FY2022,88,2022-11-01
SRSBU,CAT8500,C8500-12X4QC,Q2 FY2022,DEC FY2022,149,2022-12-01
