Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
SRSBU,CAT8500,C8500L-8S4X,Q2 FY2012,JAN FY2012,3,2021-01-01
SRSBU,CAT8500,C8500L-8S4X,Q3 FY2012,FEB FY2012,10,2021-02-01
SRSBU,CAT8500,C8500L-8S4X,Q3 FY2012,MAR FY2012,53,2021-03-01
SRSBU,CAT8500,C8500L-8S4X,Q3 FY2012,APR FY2012,197,2021-04-01
SRSBU,CAT8500,C8500L-8S4X,Q4 FY2012,MAY FY2012,146,2021-05-01
SRSBU,CAT8500,C8500L-8S4X,Q4 FY2012,JUN FY2012,155,2021-06-01
SRSBU,CAT8500,C8500L-8S4X,Q4 FY2012,JUL FY2012,361,2021-07-01
SRSBU,CAT8500,C8500L-8S4X,Q2 FY2022,JAN FY2022,316,2022-01-01
SRSBU,CAT8500,C8500L-8S4X,Q1 FY2022,AUG FY2022,236,2022-08-01
SRSBU,CAT8500,C8500L-8S4X,Q1 FY2022,SEP FY2022,200,2022-09-01
SRSBU,CAT8500,C8500L-8S4X,Q1 FY2022,OCT FY2022,394,2022-10-01
SRSBU,CAT8500,C8500L-8S4X,Q2 FY2022,NOV FY2022,291,2022-11-01
SRSBU,CAT8500,C8500L-8S4X,Q2 FY2022,DEC FY2022,252,2022-12-01
