Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
RTOBU,C9105AX,C9105AXW-B,Q4 FY2011,JUL FY2011,4541,2020-07-01
RTOBU,C9105AX,C9105AXW-B,Q2 FY2012,JAN FY2012,11197,2021-01-01
RTOBU,C9105AX,C9105AXW-B,Q3 FY2012,FEB FY2012,6376,2021-02-01
RTOBU,C9105AX,C9105AXW-B,Q3 FY2012,MAR FY2012,12191,2021-03-01
RTOBU,C9105AX,C9105AXW-B,Q3 FY2012,APR FY2012,8715,2021-04-01
RTOBU,C9105AX,C9105AXW-B,Q4 FY2012,MAY FY2012,4991,2021-05-01
RTOBU,C9105AX,C9105AXW-B,Q4 FY2012,JUN FY2012,4424,2021-06-01
RTOBU,C9105AX,C9105AXW-B,Q4 FY2012,JUL FY2012,7711,2021-07-01
RTOBU,C9105AX,C9105AXW-B,Q1 FY2012,AUG FY2012,5,2021-08-01
RTOBU,C9105AX,C9105AXW-B,Q1 FY2012,SEP FY2012,78,2021-09-01
RTOBU,C9105AX,C9105AXW-B,Q1 FY2012,OCT FY2012,4665,2021-10-01
RTOBU,C9105AX,C9105AXW-B,Q2 FY2012,NOV FY2012,1302,2021-11-01
RTOBU,C9105AX,C9105AXW-B,Q2 FY2012,DEC FY2012,1113,2021-12-01
RTOBU,C9105AX,C9105AXW-B,Q2 FY2022,JAN FY2022,12387,2022-01-01
RTOBU,C9105AX,C9105AXW-B,Q1 FY2022,AUG FY2022,6481,2022-08-01
RTOBU,C9105AX,C9105AXW-B,Q1 FY2022,SEP FY2022,5835,2022-09-01
RTOBU,C9105AX,C9105AXW-B,Q1 FY2022,OCT FY2022,3352,2022-10-01
RTOBU,C9105AX,C9105AXW-B,Q2 FY2022,NOV FY2022,15318,2022-11-01
RTOBU,C9105AX,C9105AXW-B,Q2 FY2022,DEC FY2022,17467,2022-12-01
