Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
RTOBU,C9115AX,C9115AXE-B,Q3 FY2007,APR FY2007,10,2019-04-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2007,MAY FY2007,126,2019-05-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2007,JUN FY2007,165,2019-06-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2007,JUL FY2007,1556,2019-07-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2011,JAN FY2011,892,2020-01-01
RTOBU,C9115AX,C9115AXE-B,Q3 FY2011,FEB FY2011,751,2020-02-01
RTOBU,C9115AX,C9115AXE-B,Q3 FY2011,MAR FY2011,1455,2020-03-01
RTOBU,C9115AX,C9115AXE-B,Q3 FY2011,APR FY2011,795,2020-04-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2011,MAY FY2011,471,2020-05-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2011,JUN FY2011,1014,2020-06-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2011,JUL FY2011,4018,2020-07-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2011,AUG FY2011,741,2020-08-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2011,SEP FY2011,1093,2020-09-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2011,OCT FY2011,2050,2020-10-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2011,NOV FY2011,1279,2020-11-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2011,DEC FY2011,2239,2020-12-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2012,JAN FY2012,1480,2021-01-01
RTOBU,C9115AX,C9115AXE-B,Q3 FY2012,FEB FY2012,5329,2021-02-01
RTOBU,C9115AX,C9115AXE-B,Q3 FY2012,MAR FY2012,4338,2021-03-01
RTOBU,C9115AX,C9115AXE-B,Q3 FY2012,APR FY2012,5996,2021-04-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2012,MAY FY2012,2837,2021-05-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2012,JUN FY2012,7542,2021-06-01
RTOBU,C9115AX,C9115AXE-B,Q4 FY2012,JUL FY2012,6425,2021-07-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2012,AUG FY2012,534,2021-08-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2012,SEP FY2012,851,2021-09-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2012,OCT FY2012,2440,2021-10-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2012,NOV FY2012,1861,2021-11-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2012,DEC FY2012,1741,2021-12-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2022,JAN FY2022,6024,2022-01-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2022,AUG FY2022,2917,2022-08-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2022,SEP FY2022,3400,2022-09-01
RTOBU,C9115AX,C9115AXE-B,Q1 FY2022,OCT FY2022,5350,2022-10-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2022,NOV FY2022,3678,2022-11-01
RTOBU,C9115AX,C9115AXE-B,Q2 FY2022,DEC FY2022,2698,2022-12-01
