Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
RTOBU,C9115AX,C9115AXI-B,Q3 FY2007,MAR FY2007,0,2019-03-01
RTOBU,C9115AX,C9115AXI-B,Q3 FY2007,APR FY2007,697,2019-04-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2007,MAY FY2007,2133,2019-05-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2007,JUN FY2007,4880,2019-06-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2007,JUL FY2007,15328,2019-07-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2011,JAN FY2011,15736,2020-01-01
RTOBU,C9115AX,C9115AXI-B,Q3 FY2011,FEB FY2011,7975,2020-02-01
RTOBU,C9115AX,C9115AXI-B,Q3 FY2011,MAR FY2011,16119,2020-03-01
RTOBU,C9115AX,C9115AXI-B,Q3 FY2011,APR FY2011,13589,2020-04-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2011,MAY FY2011,2154,2020-05-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2011,JUN FY2011,12641,2020-06-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2011,JUL FY2011,32259,2020-07-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2011,AUG FY2011,5618,2020-08-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2011,SEP FY2011,4097,2020-09-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2011,OCT FY2011,30717,2020-10-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2011,NOV FY2011,11516,2020-11-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2011,DEC FY2011,10897,2020-12-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2012,JAN FY2012,24055,2021-01-01
RTOBU,C9115AX,C9115AXI-B,Q3 FY2012,FEB FY2012,26625,2021-02-01
RTOBU,C9115AX,C9115AXI-B,Q3 FY2012,MAR FY2012,29564,2021-03-01
RTOBU,C9115AX,C9115AXI-B,Q3 FY2012,APR FY2012,32400,2021-04-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2012,MAY FY2012,19067,2021-05-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2012,JUN FY2012,27791,2021-06-01
RTOBU,C9115AX,C9115AXI-B,Q4 FY2012,JUL FY2012,43210,2021-07-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2012,AUG FY2012,8847,2021-08-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2012,SEP FY2012,19444,2021-09-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2012,OCT FY2012,17100,2021-10-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2012,NOV FY2012,25367,2021-11-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2012,DEC FY2012,43941,2021-12-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2022,JAN FY2022,58492,2022-01-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2022,AUG FY2022,32998,2022-08-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2022,SEP FY2022,22626,2022-09-01
RTOBU,C9115AX,C9115AXI-B,Q1 FY2022,OCT FY2022,43873,2022-10-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2022,NOV FY2022,39195,2022-11-01
RTOBU,C9115AX,C9115AXI-B,Q2 FY2022,DEC FY2022,39323,2022-12-01
