Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2007,JAN FY2007,36,2019-01-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2007,FEB FY2007,152,2019-02-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2007,MAR FY2007,143,2019-03-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2007,APR FY2007,586,2019-04-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2007,MAY FY2007,288,2019-05-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2007,JUN FY2007,586,2019-06-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2007,JUL FY2007,718,2019-07-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2007,DEC FY2007,2,2019-12-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2011,JAN FY2011,1150,2020-01-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2011,FEB FY2011,578,2020-02-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2011,MAR FY2011,759,2020-03-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2011,APR FY2011,1107,2020-04-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2011,MAY FY2011,921,2020-05-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2011,JUN FY2011,994,2020-06-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2011,JUL FY2011,2676,2020-07-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2011,AUG FY2011,581,2020-08-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2011,SEP FY2011,547,2020-09-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2011,OCT FY2011,1259,2020-10-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2011,NOV FY2011,865,2020-11-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2011,DEC FY2011,927,2020-12-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2012,JAN FY2012,2416,2021-01-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2012,FEB FY2012,1465,2021-02-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2012,MAR FY2012,1320,2021-03-01
UOPBLRBU,C9200,C9200-24T-E,Q3 FY2012,APR FY2012,2086,2021-04-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2012,MAY FY2012,1527,2021-05-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2012,JUN FY2012,1860,2021-06-01
UOPBLRBU,C9200,C9200-24T-E,Q4 FY2012,JUL FY2012,3488,2021-07-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2012,AUG FY2012,604,2021-08-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2012,SEP FY2012,1076,2021-09-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2012,OCT FY2012,1631,2021-10-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2012,NOV FY2012,918,2021-11-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2012,DEC FY2012,1211,2021-12-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2022,JAN FY2022,1028,2022-01-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2022,AUG FY2022,1517,2022-08-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2022,SEP FY2022,2842,2022-09-01
UOPBLRBU,C9200,C9200-24T-E,Q1 FY2022,OCT FY2022,6116,2022-10-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2022,NOV FY2022,1669,2022-11-01
UOPBLRBU,C9200,C9200-24T-E,Q2 FY2022,DEC FY2022,2285,2022-12-01
