Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2007,JAN FY2007,123,2019-01-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2007,FEB FY2007,111,2019-02-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2007,MAR FY2007,1796,2019-03-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2007,APR FY2007,4855,2019-04-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2007,MAY FY2007,1251,2019-05-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2007,JUN FY2007,638,2019-06-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2007,JUL FY2007,4542,2019-07-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2007,DEC FY2007,4412,2019-12-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2011,JAN FY2011,2023,2020-01-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2011,FEB FY2011,953,2020-02-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2011,MAR FY2011,3077,2020-03-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2011,APR FY2011,2397,2020-04-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2011,MAY FY2011,984,2020-05-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2011,JUN FY2011,977,2020-06-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2011,JUL FY2011,4751,2020-07-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2011,AUG FY2011,2309,2020-08-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2011,SEP FY2011,948,2020-09-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2011,OCT FY2011,2530,2020-10-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2011,NOV FY2011,2086,2020-11-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2011,DEC FY2011,1612,2020-12-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2012,JAN FY2012,1717,2021-01-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2012,FEB FY2012,1095,2021-02-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2012,MAR FY2012,2741,2021-03-01
UOPBLRBU,C9200,C9200-48P-A,Q3 FY2012,APR FY2012,5294,2021-04-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2012,MAY FY2012,1535,2021-05-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2012,JUN FY2012,2282,2021-06-01
UOPBLRBU,C9200,C9200-48P-A,Q4 FY2012,JUL FY2012,5830,2021-07-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2012,AUG FY2012,980,2021-08-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2012,SEP FY2012,904,2021-09-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2012,OCT FY2012,2181,2021-10-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2012,NOV FY2012,1042,2021-11-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2012,DEC FY2012,2345,2021-12-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2022,JAN FY2022,3163,2022-01-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2022,AUG FY2022,1101,2022-08-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2022,SEP FY2022,1831,2022-09-01
UOPBLRBU,C9200,C9200-48P-A,Q1 FY2022,OCT FY2022,2950,2022-10-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2022,NOV FY2022,3056,2022-11-01
UOPBLRBU,C9200,C9200-48P-A,Q2 FY2022,DEC FY2022,2149,2022-12-01
