Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2011,JAN FY2011,0,2020-01-01
UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2011,FEB FY2011,2,2020-02-01
UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2011,MAR FY2011,125,2020-03-01
UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2011,APR FY2011,36,2020-04-01
UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2011,MAY FY2011,15,2020-05-01
UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2011,JUN FY2011,159,2020-06-01
UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2011,JUL FY2011,408,2020-07-01
UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2012,JAN FY2012,689,2021-01-01
UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2012,FEB FY2012,421,2021-02-01
UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2012,MAR FY2012,393,2021-03-01
UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2012,APR FY2012,707,2021-04-01
UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2012,MAY FY2012,699,2021-05-01
UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2012,JUN FY2012,283,2021-06-01
UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2012,JUL FY2012,1245,2021-07-01
UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2012,AUG FY2012,86,2021-08-01
UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2012,SEP FY2012,59,2021-09-01
UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2012,OCT FY2012,367,2021-10-01
UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2012,NOV FY2012,394,2021-11-01
UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2012,DEC FY2012,425,2021-12-01
UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2022,JAN FY2022,603,2022-01-01
UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2022,AUG FY2022,501,2022-08-01
UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2022,SEP FY2022,485,2022-09-01
UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2022,OCT FY2022,1912,2022-10-01
UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2022,NOV FY2022,639,2022-11-01
UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2022,DEC FY2022,521,2022-12-01
