Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2007,JAN FY2007,273,2019-01-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2007,FEB FY2007,149,2019-02-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2007,MAR FY2007,253,2019-03-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2007,APR FY2007,1699,2019-04-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2007,MAY FY2007,280,2019-05-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2007,JUN FY2007,653,2019-06-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2007,JUL FY2007,1067,2019-07-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2007,NOV FY2007,329,2019-11-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2007,DEC FY2007,239,2019-12-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2011,JAN FY2011,1671,2020-01-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2011,FEB FY2011,607,2020-02-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2011,MAR FY2011,843,2020-03-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2011,APR FY2011,1178,2020-04-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2011,MAY FY2011,378,2020-05-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2011,JUN FY2011,1003,2020-06-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2011,JUL FY2011,1467,2020-07-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2011,AUG FY2011,382,2020-08-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2011,SEP FY2011,653,2020-09-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2011,OCT FY2011,1256,2020-10-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2011,NOV FY2011,573,2020-11-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2011,DEC FY2011,1115,2020-12-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2012,JAN FY2012,1696,2021-01-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2012,FEB FY2012,1560,2021-02-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2012,MAR FY2012,1063,2021-03-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q3 FY2012,APR FY2012,2162,2021-04-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2012,MAY FY2012,1132,2021-05-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2012,JUN FY2012,2213,2021-06-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q4 FY2012,JUL FY2012,3379,2021-07-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2012,AUG FY2012,513,2021-08-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2012,SEP FY2012,975,2021-09-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2012,OCT FY2012,1423,2021-10-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2012,NOV FY2012,1059,2021-11-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2012,DEC FY2012,1559,2021-12-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2022,JAN FY2022,2443,2022-01-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2022,AUG FY2022,1772,2022-08-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2022,SEP FY2022,2086,2022-09-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q1 FY2022,OCT FY2022,5612,2022-10-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2022,NOV FY2022,3596,2022-11-01
UOPBLRBU,C9200L,C9200L-24T-4X-E,Q2 FY2022,DEC FY2022,2620,2022-12-01
