Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2012,JAN FY2012,153,2021-01-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q3 FY2012,FEB FY2012,184,2021-02-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q3 FY2012,MAR FY2012,132,2021-03-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q3 FY2012,APR FY2012,172,2021-04-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q4 FY2012,MAY FY2012,130,2021-05-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q4 FY2012,JUN FY2012,226,2021-06-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q4 FY2012,JUL FY2012,497,2021-07-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q1 FY2012,OCT FY2012,0,2021-10-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2012,NOV FY2012,41,2021-11-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2012,DEC FY2012,99,2021-12-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2022,JAN FY2022,1194,2022-01-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q1 FY2022,AUG FY2022,386,2022-08-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q1 FY2022,SEP FY2022,380,2022-09-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q1 FY2022,OCT FY2022,764,2022-10-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2022,NOV FY2022,346,2022-11-01
UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2022,DEC FY2022,541,2022-12-01
