Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9300,C9300-24T,Q4 FY2002,JUN FY2002,42,2017-06-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2002,JUL FY2002,307,2017-07-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2008,JAN FY2008,968,2018-01-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2008,FEB FY2008,667,2018-02-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2008,MAR FY2008,1166,2018-03-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2008,APR FY2008,2921,2018-04-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2008,MAY FY2008,1444,2018-05-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2008,JUN FY2008,2073,2018-06-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2008,JUL FY2008,3291,2018-07-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2008,AUG FY2008,56,2018-08-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2008,SEP FY2008,142,2018-09-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2008,OCT FY2008,451,2018-10-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2008,NOV FY2008,672,2018-11-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2008,DEC FY2008,827,2018-12-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2007,JAN FY2007,3694,2019-01-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2007,FEB FY2007,2000,2019-02-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2007,MAR FY2007,2586,2019-03-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2007,APR FY2007,4443,2019-04-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2007,MAY FY2007,3085,2019-05-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2007,JUN FY2007,3116,2019-06-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2007,JUL FY2007,6259,2019-07-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2007,AUG FY2007,1374,2019-08-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2007,SEP FY2007,1932,2019-09-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2007,OCT FY2007,3460,2019-10-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2007,NOV FY2007,2445,2019-11-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2007,DEC FY2007,2889,2019-12-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2011,JAN FY2011,4001,2020-01-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2011,FEB FY2011,2377,2020-02-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2011,MAR FY2011,3707,2020-03-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2011,APR FY2011,4251,2020-04-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2011,MAY FY2011,2221,2020-05-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2011,JUN FY2011,2915,2020-06-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2011,JUL FY2011,6148,2020-07-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2011,AUG FY2011,1946,2020-08-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2011,SEP FY2011,2969,2020-09-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2011,OCT FY2011,5082,2020-10-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2011,NOV FY2011,2592,2020-11-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2011,DEC FY2011,3307,2020-12-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2012,JAN FY2012,6707,2021-01-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2012,FEB FY2012,4737,2021-02-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2012,MAR FY2012,4861,2021-03-01
UOPBLRBU,C9300,C9300-24T,Q3 FY2012,APR FY2012,5710,2021-04-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2012,MAY FY2012,3263,2021-05-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2012,JUN FY2012,5432,2021-06-01
UOPBLRBU,C9300,C9300-24T,Q4 FY2012,JUL FY2012,8485,2021-07-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2012,AUG FY2012,2158,2021-08-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2012,SEP FY2012,3309,2021-09-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2012,OCT FY2012,6529,2021-10-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2012,NOV FY2012,3995,2021-11-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2012,DEC FY2012,4624,2021-12-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2022,JAN FY2022,7028,2022-01-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2022,AUG FY2022,6646,2022-08-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2022,SEP FY2022,5649,2022-09-01
UOPBLRBU,C9300,C9300-24T,Q1 FY2022,OCT FY2022,9858,2022-10-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2022,NOV FY2022,7031,2022-11-01
UOPBLRBU,C9300,C9300-24T,Q2 FY2022,DEC FY2022,5998,2022-12-01
