Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9300,C9300-48H,Q2 FY2011,JAN FY2011,0,2020-01-01
UOPBLRBU,C9300,C9300-48H,Q3 FY2011,MAR FY2011,1,2020-03-01
UOPBLRBU,C9300,C9300-48H,Q3 FY2011,APR FY2011,2,2020-04-01
UOPBLRBU,C9300,C9300-48H,Q4 FY2011,MAY FY2011,0,2020-05-01
UOPBLRBU,C9300,C9300-48H,Q4 FY2011,JUN FY2011,8,2020-06-01
UOPBLRBU,C9300,C9300-48H,Q4 FY2011,JUL FY2011,65,2020-07-01
UOPBLRBU,C9300,C9300-48H,Q2 FY2011,DEC FY2011,1,2020-12-01
UOPBLRBU,C9300,C9300-48H,Q2 FY2012,JAN FY2012,469,2021-01-01
UOPBLRBU,C9300,C9300-48H,Q3 FY2012,FEB FY2012,232,2021-02-01
UOPBLRBU,C9300,C9300-48H,Q3 FY2012,MAR FY2012,275,2021-03-01
UOPBLRBU,C9300,C9300-48H,Q3 FY2012,APR FY2012,412,2021-04-01
UOPBLRBU,C9300,C9300-48H,Q4 FY2012,MAY FY2012,271,2021-05-01
UOPBLRBU,C9300,C9300-48H,Q4 FY2012,JUN FY2012,1016,2021-06-01
UOPBLRBU,C9300,C9300-48H,Q4 FY2012,JUL FY2012,2316,2021-07-01
UOPBLRBU,C9300,C9300-48H,Q1 FY2012,AUG FY2012,51,2021-08-01
UOPBLRBU,C9300,C9300-48H,Q1 FY2012,SEP FY2012,56,2021-09-01
UOPBLRBU,C9300,C9300-48H,Q1 FY2012,OCT FY2012,161,2021-10-01
UOPBLRBU,C9300,C9300-48H,Q2 FY2012,NOV FY2012,90,2021-11-01
UOPBLRBU,C9300,C9300-48H,Q2 FY2012,DEC FY2012,66,2021-12-01
UOPBLRBU,C9300,C9300-48H,Q2 FY2022,JAN FY2022,407,2022-01-01
UOPBLRBU,C9300,C9300-48H,Q1 FY2022,AUG FY2022,197,2022-08-01
UOPBLRBU,C9300,C9300-48H,Q1 FY2022,SEP FY2022,515,2022-09-01
UOPBLRBU,C9300,C9300-48H,Q1 FY2022,OCT FY2022,464,2022-10-01
UOPBLRBU,C9300,C9300-48H,Q2 FY2022,NOV FY2022,1448,2022-11-01
UOPBLRBU,C9300,C9300-48H,Q2 FY2022,DEC FY2022,772,2022-12-01
