Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9300,C9300-48UN,Q4 FY2008,JUN FY2008,29,2018-06-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2008,JUL FY2008,202,2018-07-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,JAN FY2007,1025,2019-01-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,FEB FY2007,369,2019-02-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,MAR FY2007,1451,2019-03-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,APR FY2007,1162,2019-04-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,MAY FY2007,852,2019-05-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,JUN FY2007,1976,2019-06-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,JUL FY2007,4588,2019-07-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,AUG FY2007,5,2019-08-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,SEP FY2007,19,2019-09-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,OCT FY2007,1065,2019-10-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,NOV FY2007,239,2019-11-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,DEC FY2007,470,2019-12-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,JAN FY2011,1152,2020-01-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,FEB FY2011,1198,2020-02-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,MAR FY2011,1767,2020-03-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,APR FY2011,2110,2020-04-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,MAY FY2011,735,2020-05-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,JUN FY2011,1344,2020-06-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,JUL FY2011,3994,2020-07-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,AUG FY2011,538,2020-08-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,SEP FY2011,992,2020-09-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,OCT FY2011,1560,2020-10-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,NOV FY2011,1673,2020-11-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,DEC FY2011,1108,2020-12-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,JAN FY2012,3268,2021-01-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,FEB FY2012,2728,2021-02-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,MAR FY2012,3193,2021-03-01
UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,APR FY2012,6354,2021-04-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,MAY FY2012,4171,2021-05-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,JUN FY2012,2223,2021-06-01
UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,JUL FY2012,7544,2021-07-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,AUG FY2012,1043,2021-08-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,SEP FY2012,1144,2021-09-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,OCT FY2012,3273,2021-10-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,NOV FY2012,2121,2021-11-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,DEC FY2012,1350,2021-12-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2022,JAN FY2022,5110,2022-01-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,AUG FY2022,2615,2022-08-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,SEP FY2022,12439,2022-09-01
UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,OCT FY2022,12110,2022-10-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2022,NOV FY2022,7007,2022-11-01
UOPBLRBU,C9300,C9300-48UN,Q2 FY2022,DEC FY2022,3051,2022-12-01
