Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2002,JUL FY2002,1116,2017-07-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2008,JAN FY2008,3224,2018-01-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2008,FEB FY2008,1221,2018-02-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2008,MAR FY2008,1749,2018-03-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2008,APR FY2008,3273,2018-04-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2008,MAY FY2008,2102,2018-05-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2008,JUN FY2008,2455,2018-06-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2008,JUL FY2008,10014,2018-07-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2008,AUG FY2008,0,2018-08-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2008,OCT FY2008,125,2018-10-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2008,NOV FY2008,362,2018-11-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2008,DEC FY2008,1086,2018-12-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2007,JAN FY2007,3658,2019-01-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2007,FEB FY2007,2223,2019-02-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2007,MAR FY2007,2169,2019-03-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2007,APR FY2007,3586,2019-04-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2007,MAY FY2007,4139,2019-05-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2007,JUN FY2007,3916,2019-06-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2007,JUL FY2007,8961,2019-07-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2007,AUG FY2007,2640,2019-08-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2007,SEP FY2007,1652,2019-09-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2007,OCT FY2007,4689,2019-10-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2007,NOV FY2007,3388,2019-11-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2007,DEC FY2007,3973,2019-12-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2011,JAN FY2011,6368,2020-01-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2011,FEB FY2011,2878,2020-02-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2011,MAR FY2011,3974,2020-03-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2011,APR FY2011,4664,2020-04-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2011,MAY FY2011,2931,2020-05-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2011,JUN FY2011,3079,2020-06-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2011,JUL FY2011,7170,2020-07-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2011,AUG FY2011,2688,2020-08-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2011,SEP FY2011,2345,2020-09-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2011,OCT FY2011,6791,2020-10-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2011,NOV FY2011,3602,2020-11-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2011,DEC FY2011,5185,2020-12-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2012,JAN FY2012,4768,2021-01-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2012,FEB FY2012,4351,2021-02-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2012,MAR FY2012,6630,2021-03-01
UOPBLRBU,C9300,C9300-48UXM,Q3 FY2012,APR FY2012,7180,2021-04-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2012,MAY FY2012,4590,2021-05-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2012,JUN FY2012,6384,2021-06-01
UOPBLRBU,C9300,C9300-48UXM,Q4 FY2012,JUL FY2012,14930,2021-07-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2012,AUG FY2012,2185,2021-08-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2012,SEP FY2012,2913,2021-09-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2012,OCT FY2012,6651,2021-10-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2012,NOV FY2012,5048,2021-11-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2012,DEC FY2012,4354,2021-12-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2022,JAN FY2022,9455,2022-01-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2022,AUG FY2022,5087,2022-08-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2022,SEP FY2022,5322,2022-09-01
UOPBLRBU,C9300,C9300-48UXM,Q1 FY2022,OCT FY2022,10797,2022-10-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2022,NOV FY2022,8012,2022-11-01
UOPBLRBU,C9300,C9300-48UXM,Q2 FY2022,DEC FY2022,6948,2022-12-01
