Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2002,JUN FY2002,148,2017-06-01
UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2002,JUL FY2002,3902,2017-07-01
UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,JAN FY2008,13494,2018-01-01
UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,FEB FY2008,7664,2018-02-01
UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,MAR FY2008,11065,2018-03-01
UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,APR FY2008,21114,2018-04-01
UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,MAY FY2008,11943,2018-05-01
UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,JUN FY2008,20592,2018-06-01
UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,JUL FY2008,42483,2018-07-01
UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,AUG FY2008,948,2018-08-01
UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,SEP FY2008,1596,2018-09-01
UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,OCT FY2008,5418,2018-10-01
UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,NOV FY2008,4186,2018-11-01
UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,DEC FY2008,7430,2018-12-01
UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2007,JAN FY2007,26470,2019-01-01
UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,FEB FY2007,15996,2019-02-01
UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,MAR FY2007,22576,2019-03-01
UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,APR FY2007,32678,2019-04-01
UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,MAY FY2007,20750,2019-05-01
UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,JUN FY2007,21473,2019-06-01
UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,JUL FY2007,57727,2019-07-01
