Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2007,JUN FY2007,0,2019-06-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2007,JUL FY2007,21,2019-07-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2011,JAN FY2011,79,2020-01-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2011,FEB FY2011,44,2020-02-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2011,MAR FY2011,160,2020-03-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2011,APR FY2011,159,2020-04-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2011,MAY FY2011,174,2020-05-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2011,JUN FY2011,143,2020-06-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2011,JUL FY2011,456,2020-07-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2011,AUG FY2011,15,2020-08-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2011,SEP FY2011,39,2020-09-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2011,OCT FY2011,93,2020-10-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2011,NOV FY2011,65,2020-11-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2011,DEC FY2011,80,2020-12-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2012,JAN FY2012,212,2021-01-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2012,FEB FY2012,280,2021-02-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2012,MAR FY2012,556,2021-03-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2012,APR FY2012,483,2021-04-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2012,MAY FY2012,315,2021-05-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2012,JUN FY2012,387,2021-06-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2012,JUL FY2012,796,2021-07-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2012,AUG FY2012,186,2021-08-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2012,SEP FY2012,278,2021-09-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2012,OCT FY2012,234,2021-10-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2012,NOV FY2012,191,2021-11-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2012,DEC FY2012,267,2021-12-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2022,JAN FY2022,1724,2022-01-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2022,AUG FY2022,551,2022-08-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2022,SEP FY2022,611,2022-09-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2022,OCT FY2022,799,2022-10-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2022,NOV FY2022,311,2022-11-01
UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2022,DEC FY2022,1179,2022-12-01
