Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2007,MAY FY2007,1,2019-05-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2007,JUN FY2007,11,2019-06-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2007,JUL FY2007,364,2019-07-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2011,JAN FY2011,436,2020-01-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2011,FEB FY2011,218,2020-02-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2011,MAR FY2011,249,2020-03-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2011,APR FY2011,964,2020-04-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2011,MAY FY2011,1032,2020-05-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2011,JUN FY2011,694,2020-06-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2011,JUL FY2011,1612,2020-07-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2011,AUG FY2011,60,2020-08-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2011,SEP FY2011,86,2020-09-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2011,OCT FY2011,369,2020-10-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2011,NOV FY2011,177,2020-11-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2011,DEC FY2011,446,2020-12-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2012,JAN FY2012,602,2021-01-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2012,FEB FY2012,543,2021-02-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2012,MAR FY2012,1109,2021-03-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2012,APR FY2012,1047,2021-04-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2012,MAY FY2012,527,2021-05-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2012,JUN FY2012,1260,2021-06-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2012,JUL FY2012,866,2021-07-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2012,AUG FY2012,429,2021-08-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2012,SEP FY2012,659,2021-09-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2012,OCT FY2012,774,2021-10-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2012,NOV FY2012,942,2021-11-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2012,DEC FY2012,629,2021-12-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2022,JAN FY2022,3041,2022-01-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2022,AUG FY2022,328,2022-08-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2022,SEP FY2022,942,2022-09-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2022,OCT FY2022,1127,2022-10-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2022,NOV FY2022,860,2022-11-01
UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2022,DEC FY2022,826,2022-12-01
