Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
EBBU,C9300AG,C9300X-24Y,Q3 FY2012,APR FY2012,28,2021-04-01
EBBU,C9300AG,C9300X-24Y,Q4 FY2012,MAY FY2012,50,2021-05-01
EBBU,C9300AG,C9300X-24Y,Q4 FY2012,JUN FY2012,109,2021-06-01
EBBU,C9300AG,C9300X-24Y,Q4 FY2012,JUL FY2012,419,2021-07-01
EBBU,C9300AG,C9300X-24Y,Q2 FY2022,JAN FY2022,1177,2022-01-01
EBBU,C9300AG,C9300X-24Y,Q1 FY2022,AUG FY2022,268,2022-08-01
EBBU,C9300AG,C9300X-24Y,Q1 FY2022,SEP FY2022,426,2022-09-01
EBBU,C9300AG,C9300X-24Y,Q1 FY2022,OCT FY2022,715,2022-10-01
EBBU,C9300AG,C9300X-24Y,Q2 FY2022,NOV FY2022,586,2022-11-01
EBBU,C9300AG,C9300X-24Y,Q2 FY2022,DEC FY2022,550,2022-12-01
