Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2002,JUL FY2002,1612,2017-07-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2008,JAN FY2008,3945,2018-01-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2008,FEB FY2008,2075,2018-02-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2008,MAR FY2008,4639,2018-03-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2008,APR FY2008,5473,2018-04-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2008,MAY FY2008,5835,2018-05-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2008,JUN FY2008,4638,2018-06-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2008,JUL FY2008,11037,2018-07-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2008,AUG FY2008,502,2018-08-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2008,SEP FY2008,235,2018-09-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2008,OCT FY2008,2301,2018-10-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2008,NOV FY2008,1381,2018-11-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2008,DEC FY2008,2453,2018-12-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2007,JAN FY2007,6486,2019-01-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2007,FEB FY2007,4116,2019-02-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2007,MAR FY2007,4245,2019-03-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2007,APR FY2007,6742,2019-04-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2007,MAY FY2007,3198,2019-05-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2007,JUN FY2007,5356,2019-06-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2007,JUL FY2007,12012,2019-07-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2007,AUG FY2007,4302,2019-08-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2007,SEP FY2007,2221,2019-09-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2007,OCT FY2007,6728,2019-10-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2007,NOV FY2007,3599,2019-11-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2007,DEC FY2007,4861,2019-12-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2011,JAN FY2011,6224,2020-01-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2011,FEB FY2011,4546,2020-02-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2011,MAR FY2011,9043,2020-03-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2011,APR FY2011,8022,2020-04-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2011,MAY FY2011,3225,2020-05-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2011,JUN FY2011,3476,2020-06-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2011,JUL FY2011,7213,2020-07-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2011,AUG FY2011,2870,2020-08-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2011,SEP FY2011,2860,2020-09-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2011,OCT FY2011,9070,2020-10-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2011,NOV FY2011,4696,2020-11-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2011,DEC FY2011,5992,2020-12-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2012,JAN FY2012,7789,2021-01-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2012,FEB FY2012,4818,2021-02-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2012,MAR FY2012,8290,2021-03-01
UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2012,APR FY2012,6888,2021-04-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2012,MAY FY2012,6625,2021-05-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2012,JUN FY2012,7231,2021-06-01
UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2012,JUL FY2012,7974,2021-07-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2012,AUG FY2012,4829,2021-08-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2012,SEP FY2012,3275,2021-09-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2012,OCT FY2012,6047,2021-10-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2012,NOV FY2012,3154,2021-11-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2012,DEC FY2012,3516,2021-12-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2022,JAN FY2022,6488,2022-01-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2022,AUG FY2022,4435,2022-08-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2022,SEP FY2022,4725,2022-09-01
UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2022,OCT FY2022,8223,2022-10-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2022,NOV FY2022,8107,2022-11-01
UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2022,DEC FY2022,5938,2022-12-01
