Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2002,JUL FY2002,58,2017-07-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2008,JAN FY2008,1484,2018-01-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2008,FEB FY2008,881,2018-02-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2008,MAR FY2008,2135,2018-03-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2008,APR FY2008,4775,2018-04-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2008,MAY FY2008,1496,2018-05-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2008,JUN FY2008,1295,2018-06-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2008,JUL FY2008,6508,2018-07-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2008,AUG FY2008,4,2018-08-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2008,SEP FY2008,0,2018-09-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2008,OCT FY2008,190,2018-10-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2008,NOV FY2008,348,2018-11-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2008,DEC FY2008,262,2018-12-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2007,JAN FY2007,3792,2019-01-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2007,FEB FY2007,1697,2019-02-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2007,MAR FY2007,1454,2019-03-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2007,APR FY2007,2516,2019-04-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2007,MAY FY2007,1192,2019-05-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2007,JUN FY2007,1644,2019-06-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2007,JUL FY2007,4601,2019-07-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2007,AUG FY2007,897,2019-08-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2007,SEP FY2007,1129,2019-09-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2007,OCT FY2007,2637,2019-10-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2007,NOV FY2007,1997,2019-11-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2007,DEC FY2007,4212,2019-12-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2011,JAN FY2011,3326,2020-01-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2011,FEB FY2011,1653,2020-02-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2011,MAR FY2011,3224,2020-03-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2011,APR FY2011,3123,2020-04-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2011,MAY FY2011,2852,2020-05-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2011,JUN FY2011,1768,2020-06-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2011,JUL FY2011,4050,2020-07-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2011,AUG FY2011,1329,2020-08-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2011,SEP FY2011,1192,2020-09-01
UOPBLRBU,C9400,C9400-LC-48UX,Q1 FY2011,OCT FY2011,3178,2020-10-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2011,NOV FY2011,1537,2020-11-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2011,DEC FY2011,2511,2020-12-01
UOPBLRBU,C9400,C9400-LC-48UX,Q2 FY2012,JAN FY2012,3697,2021-01-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2012,FEB FY2012,2376,2021-02-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2012,MAR FY2012,3229,2021-03-01
UOPBLRBU,C9400,C9400-LC-48UX,Q3 FY2012,APR FY2012,3224,2021-04-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2012,MAY FY2012,3637,2021-05-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2012,JUN FY2012,3378,2021-06-01
UOPBLRBU,C9400,C9400-LC-48UX,Q4 FY2012,JUL FY2012,7877,2021-07-01
