Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9400,C9400-PWR-3200AC,Q4 FY2002,JUL FY2002,1456,2017-07-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q2 FY2008,JAN FY2008,5454,2018-01-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2008,FEB FY2008,2834,2018-02-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2008,MAR FY2008,6662,2018-03-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2008,APR FY2008,10503,2018-04-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q4 FY2008,MAY FY2008,4846,2018-05-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q4 FY2008,JUN FY2008,5742,2018-06-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q4 FY2008,JUL FY2008,17102,2018-07-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q1 FY2008,AUG FY2008,481,2018-08-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q1 FY2008,SEP FY2008,113,2018-09-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q1 FY2008,OCT FY2008,2365,2018-10-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q2 FY2008,NOV FY2008,1751,2018-11-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q2 FY2008,DEC FY2008,2283,2018-12-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q2 FY2007,JAN FY2007,9548,2019-01-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2007,FEB FY2007,5598,2019-02-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2007,MAR FY2007,6493,2019-03-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2007,APR FY2007,11100,2019-04-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q4 FY2007,MAY FY2007,4942,2019-05-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q4 FY2007,JUN FY2007,7119,2019-06-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q4 FY2007,JUL FY2007,19627,2019-07-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q1 FY2007,AUG FY2007,4132,2019-08-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q1 FY2007,SEP FY2007,4038,2019-09-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q1 FY2007,OCT FY2007,9569,2019-10-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q2 FY2007,NOV FY2007,5944,2019-11-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q2 FY2007,DEC FY2007,10584,2019-12-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q2 FY2011,JAN FY2011,9449,2020-01-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2011,FEB FY2011,6142,2020-02-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2011,MAR FY2011,10619,2020-03-01
UOPBLRBU,C9400,C9400-PWR-3200AC,Q3 FY2011,APR FY2011,11760,2020-04-01
