Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2002,JUL FY2002,548,2017-07-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2008,JAN FY2008,1691,2018-01-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2008,FEB FY2008,940,2018-02-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2008,MAR FY2008,2016,2018-03-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2008,APR FY2008,3278,2018-04-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2008,MAY FY2008,1829,2018-05-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2008,JUN FY2008,1908,2018-06-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2008,JUL FY2008,5523,2018-07-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2008,AUG FY2008,257,2018-08-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2008,SEP FY2008,67,2018-09-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2008,OCT FY2008,893,2018-10-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2008,NOV FY2008,661,2018-11-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2008,DEC FY2008,969,2018-12-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2007,JAN FY2007,2912,2019-01-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2007,FEB FY2007,1550,2019-02-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2007,MAR FY2007,1645,2019-03-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2007,APR FY2007,2489,2019-04-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2007,MAY FY2007,1195,2019-05-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2007,JUN FY2007,1587,2019-06-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2007,JUL FY2007,4391,2019-07-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2007,AUG FY2007,1393,2019-08-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2007,SEP FY2007,1191,2019-09-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2007,OCT FY2007,2950,2019-10-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2007,NOV FY2007,1419,2019-11-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2007,DEC FY2007,2343,2019-12-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2011,JAN FY2011,2101,2020-01-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2011,FEB FY2011,1403,2020-02-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2011,MAR FY2011,3286,2020-03-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2011,APR FY2011,2690,2020-04-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2011,MAY FY2011,1237,2020-05-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2011,JUN FY2011,1353,2020-06-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2011,JUL FY2011,3288,2020-07-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2011,AUG FY2011,1350,2020-08-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2011,SEP FY2011,1153,2020-09-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2011,OCT FY2011,3000,2020-10-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2011,NOV FY2011,1583,2020-11-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2011,DEC FY2011,2230,2020-12-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2012,JAN FY2012,3251,2021-01-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2012,FEB FY2012,1756,2021-02-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2012,MAR FY2012,3880,2021-03-01
UOPBLRBU,C9400,C9400-SUP-1,Q3 FY2012,APR FY2012,2112,2021-04-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2012,MAY FY2012,2521,2021-05-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2012,JUN FY2012,1935,2021-06-01
UOPBLRBU,C9400,C9400-SUP-1,Q4 FY2012,JUL FY2012,3957,2021-07-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2012,AUG FY2012,2030,2021-08-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2012,SEP FY2012,1370,2021-09-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2012,OCT FY2012,2375,2021-10-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2012,NOV FY2012,1776,2021-11-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2012,DEC FY2012,1183,2021-12-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2022,JAN FY2022,3045,2022-01-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2022,AUG FY2022,2152,2022-08-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2022,SEP FY2022,1809,2022-09-01
UOPBLRBU,C9400,C9400-SUP-1,Q1 FY2022,OCT FY2022,3338,2022-10-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2022,NOV FY2022,3092,2022-11-01
UOPBLRBU,C9400,C9400-SUP-1,Q2 FY2022,DEC FY2022,2258,2022-12-01
