Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,JAN FY2008,232,2018-01-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2008,FEB FY2008,36,2018-02-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2008,MAR FY2008,162,2018-03-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2008,APR FY2008,390,2018-04-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2008,MAY FY2008,255,2018-05-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2008,JUN FY2008,327,2018-06-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2008,JUL FY2008,1059,2018-07-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,NOV FY2008,36,2018-11-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,DEC FY2008,10,2018-12-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,JAN FY2007,995,2019-01-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2007,FEB FY2007,811,2019-02-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2007,MAR FY2007,1015,2019-03-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2007,APR FY2007,2052,2019-04-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2007,MAY FY2007,903,2019-05-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2007,JUN FY2007,1234,2019-06-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2007,JUL FY2007,2798,2019-07-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,AUG FY2007,229,2019-08-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,SEP FY2007,390,2019-09-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,OCT FY2007,949,2019-10-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,NOV FY2007,943,2019-11-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,DEC FY2007,1849,2019-12-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,JAN FY2011,1731,2020-01-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2011,FEB FY2011,1046,2020-02-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2011,MAR FY2011,1474,2020-03-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2011,APR FY2011,1715,2020-04-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2011,MAY FY2011,1350,2020-05-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2011,JUN FY2011,1053,2020-06-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2011,JUL FY2011,2676,2020-07-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,AUG FY2011,703,2020-08-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,SEP FY2011,1169,2020-09-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,OCT FY2011,2588,2020-10-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,NOV FY2011,1182,2020-11-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,DEC FY2011,1725,2020-12-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,JAN FY2012,1433,2021-01-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2012,FEB FY2012,1621,2021-02-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2012,MAR FY2012,2118,2021-03-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2012,APR FY2012,2413,2021-04-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2012,MAY FY2012,1459,2021-05-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2012,JUN FY2012,2350,2021-06-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2012,JUL FY2012,3925,2021-07-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,AUG FY2012,747,2021-08-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,SEP FY2012,1014,2021-09-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,OCT FY2012,2177,2021-10-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,NOV FY2012,1068,2021-11-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,DEC FY2012,1154,2021-12-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2022,JAN FY2022,2590,2022-01-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,AUG FY2022,1263,2022-08-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,SEP FY2022,1337,2022-09-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,OCT FY2022,2785,2022-10-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2022,NOV FY2022,2984,2022-11-01
UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2022,DEC FY2022,1777,2022-12-01
