Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2002,JUL FY2002,88,2017-07-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2008,JAN FY2008,453,2018-01-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2008,FEB FY2008,203,2018-02-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2008,MAR FY2008,489,2018-03-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2008,APR FY2008,476,2018-04-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2008,MAY FY2008,250,2018-05-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2008,JUN FY2008,440,2018-06-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2008,JUL FY2008,1440,2018-07-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2008,AUG FY2008,14,2018-08-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2008,SEP FY2008,23,2018-09-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2008,OCT FY2008,177,2018-10-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2008,NOV FY2008,67,2018-11-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2008,DEC FY2008,171,2018-12-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2007,JAN FY2007,641,2019-01-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2007,FEB FY2007,433,2019-02-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2007,MAR FY2007,428,2019-03-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2007,APR FY2007,709,2019-04-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2007,MAY FY2007,361,2019-05-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2007,JUN FY2007,376,2019-06-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2007,JUL FY2007,1489,2019-07-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2007,AUG FY2007,219,2019-08-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2007,SEP FY2007,202,2019-09-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2007,OCT FY2007,574,2019-10-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2007,NOV FY2007,357,2019-11-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2007,DEC FY2007,472,2019-12-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2011,JAN FY2011,621,2020-01-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2011,FEB FY2011,318,2020-02-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2011,MAR FY2011,576,2020-03-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2011,APR FY2011,737,2020-04-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2011,MAY FY2011,272,2020-05-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2011,JUN FY2011,388,2020-06-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2011,JUL FY2011,924,2020-07-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2011,AUG FY2011,315,2020-08-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2011,SEP FY2011,303,2020-09-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2011,OCT FY2011,774,2020-10-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2011,NOV FY2011,364,2020-11-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2011,DEC FY2011,605,2020-12-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2012,JAN FY2012,856,2021-01-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2012,FEB FY2012,495,2021-02-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2012,MAR FY2012,518,2021-03-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q3 FY2012,APR FY2012,553,2021-04-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2012,MAY FY2012,526,2021-05-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2012,JUN FY2012,581,2021-06-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q4 FY2012,JUL FY2012,1348,2021-07-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2012,AUG FY2012,236,2021-08-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2012,SEP FY2012,277,2021-09-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2012,OCT FY2012,592,2021-10-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2012,NOV FY2012,298,2021-11-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2012,DEC FY2012,431,2021-12-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2022,JAN FY2022,1191,2022-01-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2022,AUG FY2022,567,2022-08-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2022,SEP FY2022,548,2022-09-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q1 FY2022,OCT FY2022,1313,2022-10-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2022,NOV FY2022,1277,2022-11-01
UOPBLRBU,C9400,C9410R-96U-BNDL-A,Q2 FY2022,DEC FY2022,709,2022-12-01
