Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
EBBU,C9500,C9500-24Y4C,Q3 FY2008,APR FY2008,18,2018-04-01
EBBU,C9500,C9500-24Y4C,Q4 FY2008,MAY FY2008,15,2018-05-01
EBBU,C9500,C9500-24Y4C,Q4 FY2008,JUN FY2008,27,2018-06-01
EBBU,C9500,C9500-24Y4C,Q4 FY2008,JUL FY2008,275,2018-07-01
EBBU,C9500,C9500-24Y4C,Q2 FY2007,JAN FY2007,411,2019-01-01
EBBU,C9500,C9500-24Y4C,Q3 FY2007,FEB FY2007,195,2019-02-01
EBBU,C9500,C9500-24Y4C,Q3 FY2007,MAR FY2007,295,2019-03-01
EBBU,C9500,C9500-24Y4C,Q3 FY2007,APR FY2007,707,2019-04-01
EBBU,C9500,C9500-24Y4C,Q4 FY2007,MAY FY2007,407,2019-05-01
EBBU,C9500,C9500-24Y4C,Q4 FY2007,JUN FY2007,729,2019-06-01
EBBU,C9500,C9500-24Y4C,Q4 FY2007,JUL FY2007,1423,2019-07-01
EBBU,C9500,C9500-24Y4C,Q1 FY2007,AUG FY2007,82,2019-08-01
EBBU,C9500,C9500-24Y4C,Q1 FY2007,SEP FY2007,130,2019-09-01
EBBU,C9500,C9500-24Y4C,Q1 FY2007,OCT FY2007,348,2019-10-01
EBBU,C9500,C9500-24Y4C,Q2 FY2007,NOV FY2007,261,2019-11-01
EBBU,C9500,C9500-24Y4C,Q2 FY2007,DEC FY2007,313,2019-12-01
EBBU,C9500,C9500-24Y4C,Q2 FY2011,JAN FY2011,1429,2020-01-01
EBBU,C9500,C9500-24Y4C,Q3 FY2011,FEB FY2011,782,2020-02-01
EBBU,C9500,C9500-24Y4C,Q3 FY2011,MAR FY2011,965,2020-03-01
EBBU,C9500,C9500-24Y4C,Q3 FY2011,APR FY2011,1628,2020-04-01
EBBU,C9500,C9500-24Y4C,Q4 FY2011,MAY FY2011,856,2020-05-01
EBBU,C9500,C9500-24Y4C,Q4 FY2011,JUN FY2011,899,2020-06-01
EBBU,C9500,C9500-24Y4C,Q4 FY2011,JUL FY2011,2816,2020-07-01
EBBU,C9500,C9500-24Y4C,Q1 FY2011,AUG FY2011,469,2020-08-01
EBBU,C9500,C9500-24Y4C,Q1 FY2011,SEP FY2011,682,2020-09-01
EBBU,C9500,C9500-24Y4C,Q1 FY2011,OCT FY2011,1483,2020-10-01
EBBU,C9500,C9500-24Y4C,Q2 FY2011,NOV FY2011,853,2020-11-01
EBBU,C9500,C9500-24Y4C,Q2 FY2011,DEC FY2011,955,2020-12-01
EBBU,C9500,C9500-24Y4C,Q2 FY2012,JAN FY2012,1682,2021-01-01
EBBU,C9500,C9500-24Y4C,Q3 FY2012,FEB FY2012,1451,2021-02-01
EBBU,C9500,C9500-24Y4C,Q3 FY2012,MAR FY2012,1973,2021-03-01
EBBU,C9500,C9500-24Y4C,Q3 FY2012,APR FY2012,2048,2021-04-01
EBBU,C9500,C9500-24Y4C,Q4 FY2012,MAY FY2012,1486,2021-05-01
EBBU,C9500,C9500-24Y4C,Q4 FY2012,JUN FY2012,2301,2021-06-01
EBBU,C9500,C9500-24Y4C,Q4 FY2012,JUL FY2012,3604,2021-07-01
EBBU,C9500,C9500-24Y4C,Q1 FY2012,AUG FY2012,920,2021-08-01
EBBU,C9500,C9500-24Y4C,Q1 FY2012,SEP FY2012,1035,2021-09-01
EBBU,C9500,C9500-24Y4C,Q1 FY2012,OCT FY2012,2145,2021-10-01
EBBU,C9500,C9500-24Y4C,Q2 FY2012,NOV FY2012,1410,2021-11-01
EBBU,C9500,C9500-24Y4C,Q2 FY2012,DEC FY2012,1738,2021-12-01
EBBU,C9500,C9500-24Y4C,Q2 FY2022,JAN FY2022,2607,2022-01-01
EBBU,C9500,C9500-24Y4C,Q1 FY2022,AUG FY2022,1807,2022-08-01
EBBU,C9500,C9500-24Y4C,Q1 FY2022,SEP FY2022,3154,2022-09-01
EBBU,C9500,C9500-24Y4C,Q1 FY2022,OCT FY2022,2933,2022-10-01
EBBU,C9500,C9500-24Y4C,Q2 FY2022,NOV FY2022,2386,2022-11-01
EBBU,C9500,C9500-24Y4C,Q2 FY2022,DEC FY2022,2108,2022-12-01
