Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
EBBU,C9500,C9500-40X,Q4 FY2002,JUL FY2002,162,2017-07-01
EBBU,C9500,C9500-40X,Q2 FY2008,JAN FY2008,827,2018-01-01
EBBU,C9500,C9500-40X,Q3 FY2008,FEB FY2008,788,2018-02-01
EBBU,C9500,C9500-40X,Q3 FY2008,MAR FY2008,995,2018-03-01
EBBU,C9500,C9500-40X,Q3 FY2008,APR FY2008,1394,2018-04-01
EBBU,C9500,C9500-40X,Q4 FY2008,MAY FY2008,1015,2018-05-01
EBBU,C9500,C9500-40X,Q4 FY2008,JUN FY2008,1220,2018-06-01
EBBU,C9500,C9500-40X,Q4 FY2008,JUL FY2008,2087,2018-07-01
EBBU,C9500,C9500-40X,Q1 FY2008,AUG FY2008,55,2018-08-01
EBBU,C9500,C9500-40X,Q1 FY2008,SEP FY2008,68,2018-09-01
EBBU,C9500,C9500-40X,Q1 FY2008,OCT FY2008,397,2018-10-01
EBBU,C9500,C9500-40X,Q2 FY2008,NOV FY2008,322,2018-11-01
EBBU,C9500,C9500-40X,Q2 FY2008,DEC FY2008,508,2018-12-01
EBBU,C9500,C9500-40X,Q2 FY2007,JAN FY2007,1370,2019-01-01
EBBU,C9500,C9500-40X,Q3 FY2007,FEB FY2007,950,2019-02-01
EBBU,C9500,C9500-40X,Q3 FY2007,MAR FY2007,1063,2019-03-01
EBBU,C9500,C9500-40X,Q3 FY2007,APR FY2007,2255,2019-04-01
EBBU,C9500,C9500-40X,Q4 FY2007,MAY FY2007,902,2019-05-01
EBBU,C9500,C9500-40X,Q4 FY2007,JUN FY2007,1141,2019-06-01
EBBU,C9500,C9500-40X,Q4 FY2007,JUL FY2007,2333,2019-07-01
EBBU,C9500,C9500-40X,Q1 FY2007,AUG FY2007,871,2019-08-01
EBBU,C9500,C9500-40X,Q1 FY2007,SEP FY2007,1268,2019-09-01
EBBU,C9500,C9500-40X,Q1 FY2007,OCT FY2007,2187,2019-10-01
EBBU,C9500,C9500-40X,Q2 FY2007,NOV FY2007,883,2019-11-01
EBBU,C9500,C9500-40X,Q2 FY2007,DEC FY2007,1035,2019-12-01
EBBU,C9500,C9500-40X,Q2 FY2011,JAN FY2011,1426,2020-01-01
EBBU,C9500,C9500-40X,Q3 FY2011,FEB FY2011,1866,2020-02-01
EBBU,C9500,C9500-40X,Q3 FY2011,MAR FY2011,1542,2020-03-01
EBBU,C9500,C9500-40X,Q3 FY2011,APR FY2011,2888,2020-04-01
EBBU,C9500,C9500-40X,Q4 FY2011,MAY FY2011,1577,2020-05-01
EBBU,C9500,C9500-40X,Q4 FY2011,JUN FY2011,583,2020-06-01
EBBU,C9500,C9500-40X,Q4 FY2011,JUL FY2011,1660,2020-07-01
EBBU,C9500,C9500-40X,Q1 FY2011,AUG FY2011,911,2020-08-01
EBBU,C9500,C9500-40X,Q1 FY2011,SEP FY2011,1023,2020-09-01
EBBU,C9500,C9500-40X,Q1 FY2011,OCT FY2011,1808,2020-10-01
EBBU,C9500,C9500-40X,Q2 FY2011,NOV FY2011,1743,2020-11-01
EBBU,C9500,C9500-40X,Q2 FY2011,DEC FY2011,1294,2020-12-01
EBBU,C9500,C9500-40X,Q2 FY2012,JAN FY2012,4574,2021-01-01
EBBU,C9500,C9500-40X,Q3 FY2012,FEB FY2012,1772,2021-02-01
EBBU,C9500,C9500-40X,Q3 FY2012,MAR FY2012,2946,2021-03-01
EBBU,C9500,C9500-40X,Q3 FY2012,APR FY2012,3435,2021-04-01
EBBU,C9500,C9500-40X,Q4 FY2012,MAY FY2012,1682,2021-05-01
EBBU,C9500,C9500-40X,Q4 FY2012,JUN FY2012,497,2021-06-01
EBBU,C9500,C9500-40X,Q4 FY2012,JUL FY2012,1227,2021-07-01
EBBU,C9500,C9500-40X,Q1 FY2012,AUG FY2012,576,2021-08-01
EBBU,C9500,C9500-40X,Q1 FY2012,SEP FY2012,730,2021-09-01
EBBU,C9500,C9500-40X,Q1 FY2012,OCT FY2012,1145,2021-10-01
EBBU,C9500,C9500-40X,Q2 FY2012,NOV FY2012,5078,2021-11-01
EBBU,C9500,C9500-40X,Q2 FY2012,DEC FY2012,1918,2021-12-01
EBBU,C9500,C9500-40X,Q2 FY2022,JAN FY2022,636,2022-01-01
EBBU,C9500,C9500-40X,Q1 FY2022,AUG FY2022,653,2022-08-01
EBBU,C9500,C9500-40X,Q1 FY2022,SEP FY2022,1572,2022-09-01
EBBU,C9500,C9500-40X,Q1 FY2022,OCT FY2022,5356,2022-10-01
EBBU,C9500,C9500-40X,Q2 FY2022,NOV FY2022,1003,2022-11-01
EBBU,C9500,C9500-40X,Q2 FY2022,DEC FY2022,741,2022-12-01
