Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
EBBU,C9600,C9606R,Q3 FY2007,APR FY2007,19,2019-04-01
EBBU,C9600,C9606R,Q4 FY2007,MAY FY2007,36,2019-05-01
EBBU,C9600,C9606R,Q4 FY2007,JUN FY2007,81,2019-06-01
EBBU,C9600,C9606R,Q4 FY2007,JUL FY2007,339,2019-07-01
EBBU,C9600,C9606R,Q2 FY2011,JAN FY2011,321,2020-01-01
EBBU,C9600,C9606R,Q3 FY2011,FEB FY2011,200,2020-02-01
EBBU,C9600,C9606R,Q3 FY2011,MAR FY2011,302,2020-03-01
EBBU,C9600,C9606R,Q3 FY2011,APR FY2011,520,2020-04-01
EBBU,C9600,C9606R,Q4 FY2011,MAY FY2011,163,2020-05-01
EBBU,C9600,C9606R,Q4 FY2011,JUN FY2011,246,2020-06-01
EBBU,C9600,C9606R,Q4 FY2011,JUL FY2011,882,2020-07-01
EBBU,C9600,C9606R,Q1 FY2011,AUG FY2011,86,2020-08-01
EBBU,C9600,C9606R,Q1 FY2011,SEP FY2011,106,2020-09-01
EBBU,C9600,C9606R,Q1 FY2011,OCT FY2011,403,2020-10-01
EBBU,C9600,C9606R,Q2 FY2011,NOV FY2011,155,2020-11-01
EBBU,C9600,C9606R,Q2 FY2011,DEC FY2011,279,2020-12-01
EBBU,C9600,C9606R,Q2 FY2012,JAN FY2012,597,2021-01-01
EBBU,C9600,C9606R,Q3 FY2012,FEB FY2012,339,2021-02-01
EBBU,C9600,C9606R,Q3 FY2012,MAR FY2012,396,2021-03-01
EBBU,C9600,C9606R,Q3 FY2012,APR FY2012,570,2021-04-01
EBBU,C9600,C9606R,Q4 FY2012,MAY FY2012,351,2021-05-01
EBBU,C9600,C9606R,Q4 FY2012,JUN FY2012,458,2021-06-01
EBBU,C9600,C9606R,Q4 FY2012,JUL FY2012,935,2021-07-01
EBBU,C9600,C9606R,Q1 FY2012,AUG FY2012,231,2021-08-01
EBBU,C9600,C9606R,Q1 FY2012,SEP FY2012,414,2021-09-01
EBBU,C9600,C9606R,Q1 FY2012,OCT FY2012,634,2021-10-01
EBBU,C9600,C9606R,Q2 FY2012,NOV FY2012,549,2021-11-01
EBBU,C9600,C9606R,Q2 FY2012,DEC FY2012,320,2021-12-01
EBBU,C9600,C9606R,Q2 FY2022,JAN FY2022,623,2022-01-01
EBBU,C9600,C9606R,Q1 FY2022,AUG FY2022,339,2022-08-01
EBBU,C9600,C9606R,Q1 FY2022,SEP FY2022,540,2022-09-01
EBBU,C9600,C9606R,Q1 FY2022,OCT FY2022,708,2022-10-01
EBBU,C9600,C9606R,Q2 FY2022,NOV FY2022,495,2022-11-01
EBBU,C9600,C9606R,Q2 FY2022,DEC FY2022,349,2022-12-01
