Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
RTOBU,C980040,C9800-40-K9,Q2 FY2007,JAN FY2007,40,2019-01-01
RTOBU,C980040,C9800-40-K9,Q3 FY2007,FEB FY2007,34,2019-02-01
RTOBU,C980040,C9800-40-K9,Q3 FY2007,MAR FY2007,439,2019-03-01
RTOBU,C980040,C9800-40-K9,Q3 FY2007,APR FY2007,132,2019-04-01
RTOBU,C980040,C9800-40-K9,Q4 FY2007,MAY FY2007,299,2019-05-01
RTOBU,C980040,C9800-40-K9,Q4 FY2007,JUN FY2007,185,2019-06-01
RTOBU,C980040,C9800-40-K9,Q4 FY2007,JUL FY2007,605,2019-07-01
RTOBU,C980040,C9800-40-K9,Q2 FY2007,NOV FY2007,1,2019-11-01
RTOBU,C980040,C9800-40-K9,Q2 FY2007,DEC FY2007,33,2019-12-01
RTOBU,C980040,C9800-40-K9,Q2 FY2011,JAN FY2011,357,2020-01-01
RTOBU,C980040,C9800-40-K9,Q3 FY2011,FEB FY2011,277,2020-02-01
RTOBU,C980040,C9800-40-K9,Q3 FY2011,MAR FY2011,324,2020-03-01
RTOBU,C980040,C9800-40-K9,Q3 FY2011,APR FY2011,511,2020-04-01
RTOBU,C980040,C9800-40-K9,Q4 FY2011,MAY FY2011,289,2020-05-01
RTOBU,C980040,C9800-40-K9,Q4 FY2011,JUN FY2011,229,2020-06-01
RTOBU,C980040,C9800-40-K9,Q4 FY2011,JUL FY2011,690,2020-07-01
RTOBU,C980040,C9800-40-K9,Q1 FY2011,AUG FY2011,192,2020-08-01
RTOBU,C980040,C9800-40-K9,Q1 FY2011,SEP FY2011,146,2020-09-01
RTOBU,C980040,C9800-40-K9,Q1 FY2011,OCT FY2011,316,2020-10-01
RTOBU,C980040,C9800-40-K9,Q2 FY2011,NOV FY2011,259,2020-11-01
RTOBU,C980040,C9800-40-K9,Q2 FY2011,DEC FY2011,380,2020-12-01
RTOBU,C980040,C9800-40-K9,Q2 FY2012,JAN FY2012,667,2021-01-01
RTOBU,C980040,C9800-40-K9,Q3 FY2012,FEB FY2012,437,2021-02-01
RTOBU,C980040,C9800-40-K9,Q3 FY2012,MAR FY2012,553,2021-03-01
RTOBU,C980040,C9800-40-K9,Q3 FY2012,APR FY2012,843,2021-04-01
RTOBU,C980040,C9800-40-K9,Q4 FY2012,MAY FY2012,601,2021-05-01
RTOBU,C980040,C9800-40-K9,Q4 FY2012,JUN FY2012,591,2021-06-01
RTOBU,C980040,C9800-40-K9,Q4 FY2012,JUL FY2012,1231,2021-07-01
RTOBU,C980040,C9800-40-K9,Q1 FY2012,AUG FY2012,214,2021-08-01
RTOBU,C980040,C9800-40-K9,Q1 FY2012,SEP FY2012,259,2021-09-01
RTOBU,C980040,C9800-40-K9,Q1 FY2012,OCT FY2012,490,2021-10-01
RTOBU,C980040,C9800-40-K9,Q2 FY2012,NOV FY2012,558,2021-11-01
RTOBU,C980040,C9800-40-K9,Q2 FY2012,DEC FY2012,473,2021-12-01
RTOBU,C980040,C9800-40-K9,Q2 FY2022,JAN FY2022,1038,2022-01-01
RTOBU,C980040,C9800-40-K9,Q1 FY2022,AUG FY2022,588,2022-08-01
RTOBU,C980040,C9800-40-K9,Q1 FY2022,SEP FY2022,552,2022-09-01
RTOBU,C980040,C9800-40-K9,Q1 FY2022,OCT FY2022,1462,2022-10-01
RTOBU,C980040,C9800-40-K9,Q2 FY2022,NOV FY2022,767,2022-11-01
RTOBU,C980040,C9800-40-K9,Q2 FY2022,DEC FY2022,536,2022-12-01
