Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2015,JUL FY2015,2092,2015-07-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,JAN FY2022,2576,2016-01-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,FEB FY2022,3562,2016-02-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,MAR FY2022,1158,2016-03-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,APR FY2022,4304,2016-04-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,MAY FY2022,950,2016-05-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,JUN FY2022,1234,2016-06-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,JUL FY2022,3648,2016-07-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,AUG FY2022,204,2016-08-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,SEP FY2022,1476,2016-09-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,OCT FY2022,564,2016-10-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,NOV FY2022,154,2016-11-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,DEC FY2022,3680,2016-12-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,JAN FY2002,4740,2017-01-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,FEB FY2002,483,2017-02-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,MAR FY2002,1721,2017-03-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,APR FY2002,3908,2017-04-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,MAY FY2002,845,2017-05-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,JUN FY2002,2467,2017-06-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,JUL FY2002,1590,2017-07-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,AUG FY2002,374,2017-08-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,SEP FY2002,354,2017-09-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,OCT FY2002,6094,2017-10-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,NOV FY2002,335,2017-11-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,DEC FY2002,1821,2017-12-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,JAN FY2008,746,2018-01-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,FEB FY2008,1972,2018-02-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,MAR FY2008,2108,2018-03-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,APR FY2008,3894,2018-04-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,MAY FY2008,2014,2018-05-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,JUN FY2008,783,2018-06-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,JUL FY2008,29,2018-07-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,AUG FY2008,906,2018-08-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,SEP FY2008,2146,2018-09-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,OCT FY2008,664,2018-10-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,NOV FY2008,1635,2018-11-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,DEC FY2008,368,2018-12-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,JAN FY2007,1913,2019-01-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,FEB FY2007,743,2019-02-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,MAR FY2007,525,2019-03-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,APR FY2007,950,2019-04-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,MAY FY2007,158,2019-05-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,JUN FY2007,453,2019-06-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,JUL FY2007,983,2019-07-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,AUG FY2007,606,2019-08-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,SEP FY2007,682,2019-09-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,OCT FY2007,1039,2019-10-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,NOV FY2007,26,2019-11-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,DEC FY2007,1526,2019-12-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2011,JAN FY2011,648,2020-01-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2011,FEB FY2011,84,2020-02-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2011,MAR FY2011,164,2020-03-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2011,APR FY2011,946,2020-04-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2011,MAY FY2011,228,2020-05-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2011,JUN FY2011,366,2020-06-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2011,JUL FY2011,912,2020-07-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,AUG FY2011,279,2020-08-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,SEP FY2011,234,2020-09-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,OCT FY2011,407,2020-10-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2011,NOV FY2011,336,2020-11-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2011,DEC FY2011,204,2020-12-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2012,JAN FY2012,74,2021-01-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2012,FEB FY2012,110,2021-02-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2012,MAR FY2012,917,2021-03-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2012,APR FY2012,436,2021-04-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,MAY FY2012,294,2021-05-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,JUN FY2012,242,2021-06-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2012,JUL FY2012,220,2021-07-01
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2012,AUG FY2012,64,2021-08-01
