Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,JAN FY2014,31729,2014-01-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,FEB FY2014,28942,2014-02-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,MAR FY2014,42734,2014-03-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,APR FY2014,72483,2014-04-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,MAY FY2014,51314,2014-05-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,JUN FY2014,49679,2014-06-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2014,JUL FY2014,125440,2014-07-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2014,OCT FY2014,14545,2014-10-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,NOV FY2014,11527,2014-11-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,DEC FY2014,32209,2014-12-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2015,JAN FY2015,78652,2015-01-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2015,FEB FY2015,63630,2015-02-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2015,MAR FY2015,91662,2015-03-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2015,APR FY2015,100167,2015-04-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2015,MAY FY2015,54544,2015-05-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2015,JUN FY2015,105985,2015-06-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2015,JUL FY2015,174909,2015-07-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2015,AUG FY2015,20403,2015-08-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2015,SEP FY2015,69525,2015-09-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2015,OCT FY2015,75220,2015-10-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2015,NOV FY2015,52426,2015-11-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2015,DEC FY2015,63023,2015-12-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2022,JAN FY2022,80802,2016-01-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2022,FEB FY2022,63309,2016-02-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2022,MAR FY2022,90397,2016-03-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2022,APR FY2022,101178,2016-04-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2022,MAY FY2022,74738,2016-05-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2022,JUN FY2022,100467,2016-06-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2022,JUL FY2022,165192,2016-07-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2022,AUG FY2022,46431,2016-08-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2022,SEP FY2022,85121,2016-09-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2022,OCT FY2022,92692,2016-10-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2022,NOV FY2022,62857,2016-11-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2022,DEC FY2022,71281,2016-12-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2002,JAN FY2002,82070,2017-01-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2002,FEB FY2002,51516,2017-02-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2002,MAR FY2002,74775,2017-03-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2002,APR FY2002,118397,2017-04-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2002,MAY FY2002,89807,2017-05-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2002,JUN FY2002,96497,2017-06-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2002,JUL FY2002,197941,2017-07-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2002,AUG FY2002,40350,2017-08-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2002,SEP FY2002,61118,2017-09-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2002,OCT FY2002,121691,2017-10-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2002,NOV FY2002,79164,2017-11-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2002,DEC FY2002,83949,2017-12-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2008,JAN FY2008,103576,2018-01-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2008,FEB FY2008,65593,2018-02-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2008,MAR FY2008,93575,2018-03-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2008,APR FY2008,125469,2018-04-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2008,MAY FY2008,85757,2018-05-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2008,JUN FY2008,105339,2018-06-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2008,JUL FY2008,143382,2018-07-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2008,AUG FY2008,41865,2018-08-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2008,SEP FY2008,82756,2018-09-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2008,OCT FY2008,108745,2018-10-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2008,NOV FY2008,78620,2018-11-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2008,DEC FY2008,94505,2018-12-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2007,JAN FY2007,78037,2019-01-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2007,FEB FY2007,62657,2019-02-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2007,MAR FY2007,69315,2019-03-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2007,APR FY2007,104737,2019-04-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2007,MAY FY2007,72362,2019-05-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2007,JUN FY2007,76909,2019-06-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2007,JUL FY2007,165202,2019-07-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2007,AUG FY2007,84014,2019-08-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2007,SEP FY2007,103596,2019-09-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2007,OCT FY2007,166758,2019-10-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2007,NOV FY2007,84520,2019-11-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2007,DEC FY2007,97796,2019-12-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2011,JAN FY2011,99854,2020-01-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2011,FEB FY2011,55772,2020-02-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2011,MAR FY2011,95276,2020-03-01
UCEBU,PHONVOC,CP-7841-K9,Q3 FY2011,APR FY2011,61286,2020-04-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2011,MAY FY2011,32672,2020-05-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2011,JUN FY2011,38892,2020-06-01
UCEBU,PHONVOC,CP-7841-K9,Q4 FY2011,JUL FY2011,102607,2020-07-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2011,AUG FY2011,45226,2020-08-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2011,SEP FY2011,61064,2020-09-01
UCEBU,PHONVOC,CP-7841-K9,Q1 FY2011,OCT FY2011,167928,2020-10-01
UCEBU,PHONVOC,CP-7841-K9,Q2 FY2011,NOV FY2011,77622,2020-11-01
