Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2022,MAY FY2022,2,2016-05-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2022,JUN FY2022,0,2016-06-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2022,JUL FY2022,8208,2016-07-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2002,JAN FY2002,9965,2017-01-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2002,FEB FY2002,9544,2017-02-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2002,MAR FY2002,12549,2017-03-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2002,APR FY2002,19685,2017-04-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2002,MAY FY2002,11239,2017-05-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2002,JUN FY2002,10812,2017-06-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2002,JUL FY2002,17306,2017-07-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2002,AUG FY2002,1485,2017-08-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2002,SEP FY2002,3166,2017-09-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2002,OCT FY2002,19870,2017-10-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2002,NOV FY2002,11008,2017-11-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2002,DEC FY2002,10336,2017-12-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2008,JAN FY2008,10978,2018-01-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2008,FEB FY2008,15955,2018-02-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2008,MAR FY2008,13950,2018-03-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2008,APR FY2008,22979,2018-04-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2008,MAY FY2008,18890,2018-05-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2008,JUN FY2008,17561,2018-06-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2008,JUL FY2008,25795,2018-07-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2008,AUG FY2008,8441,2018-08-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2008,SEP FY2008,9020,2018-09-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2008,OCT FY2008,15986,2018-10-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2008,NOV FY2008,9563,2018-11-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2008,DEC FY2008,10700,2018-12-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2007,JAN FY2007,11460,2019-01-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2007,FEB FY2007,7726,2019-02-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2007,MAR FY2007,7495,2019-03-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2007,APR FY2007,17421,2019-04-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2007,MAY FY2007,6821,2019-05-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2007,JUN FY2007,9934,2019-06-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2007,JUL FY2007,12983,2019-07-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2007,AUG FY2007,22566,2019-08-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2007,SEP FY2007,20113,2019-09-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2007,OCT FY2007,22362,2019-10-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2007,NOV FY2007,9284,2019-11-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2007,DEC FY2007,14569,2019-12-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2011,JAN FY2011,11271,2020-01-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2011,FEB FY2011,14080,2020-02-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2011,MAR FY2011,16015,2020-03-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q3 FY2011,APR FY2011,16144,2020-04-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2011,MAY FY2011,8696,2020-05-01
UCEBU,WPHONE,CP-8821-K9-BUN,Q4 FY2011,JUN FY2011,6806,2020-06-01
