Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2008,APR FY2008,55,2018-04-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,MAY FY2008,2,2018-05-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,JUN FY2008,28,2018-06-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,JUL FY2008,68,2018-07-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,JAN FY2007,76,2019-01-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,FEB FY2007,300,2019-02-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,MAR FY2007,33,2019-03-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,APR FY2007,580,2019-04-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2007,MAY FY2007,138,2019-05-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2007,JUN FY2007,362,2019-06-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2007,JUL FY2007,175,2019-07-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,AUG FY2007,43,2019-08-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,SEP FY2007,55,2019-09-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,OCT FY2007,54,2019-10-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,NOV FY2007,65,2019-11-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,DEC FY2007,171,2019-12-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,JAN FY2011,10,2020-01-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,FEB FY2011,370,2020-02-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,MAR FY2011,222,2020-03-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,APR FY2011,515,2020-04-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2011,MAY FY2011,302,2020-05-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2011,JUN FY2011,100,2020-06-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2011,JUL FY2011,327,2020-07-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,AUG FY2011,26,2020-08-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,SEP FY2011,42,2020-09-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,OCT FY2011,138,2020-10-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,NOV FY2011,882,2020-11-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,DEC FY2011,719,2020-12-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,JAN FY2012,644,2021-01-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,FEB FY2012,385,2021-02-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,MAR FY2012,784,2021-03-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,APR FY2012,1252,2021-04-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2012,MAY FY2012,1646,2021-05-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2012,JUN FY2012,6069,2021-06-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2012,JUL FY2012,768,2021-07-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,AUG FY2012,178,2021-08-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,SEP FY2012,72,2021-09-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,OCT FY2012,2207,2021-10-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,NOV FY2012,336,2021-11-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,DEC FY2012,198,2021-12-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2022,JAN FY2022,30354,2022-01-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,AUG FY2022,734,2022-08-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,SEP FY2022,1476,2022-09-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,OCT FY2022,1383,2022-10-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2022,NOV FY2022,36,2022-11-01
UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2022,DEC FY2022,624,2022-12-01
