Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2002,APR FY2002,0,2017-04-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2002,MAY FY2002,184,2017-05-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2002,JUN FY2002,387,2017-06-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2002,JUL FY2002,836,2017-07-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2008,JAN FY2008,1256,2018-01-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2008,FEB FY2008,1165,2018-02-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2008,MAR FY2008,1255,2018-03-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2008,APR FY2008,2130,2018-04-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2008,MAY FY2008,1753,2018-05-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2008,JUN FY2008,1829,2018-06-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2008,JUL FY2008,3166,2018-07-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,AUG FY2008,357,2018-08-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,SEP FY2008,380,2018-09-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,OCT FY2008,1088,2018-10-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2008,NOV FY2008,636,2018-11-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2008,DEC FY2008,1095,2018-12-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2007,JAN FY2007,2984,2019-01-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2007,FEB FY2007,2334,2019-02-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2007,MAR FY2007,2169,2019-03-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2007,APR FY2007,3270,2019-04-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,MAY FY2007,2573,2019-05-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,JUN FY2007,3042,2019-06-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,JUL FY2007,4657,2019-07-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,AUG FY2007,1906,2019-08-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,SEP FY2007,2020,2019-09-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,OCT FY2007,3445,2019-10-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2007,NOV FY2007,2355,2019-11-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2007,DEC FY2007,2941,2019-12-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2011,JAN FY2011,2548,2020-01-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2011,FEB FY2011,2868,2020-02-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2011,MAR FY2011,3560,2020-03-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2011,APR FY2011,3910,2020-04-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2011,MAY FY2011,1803,2020-05-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2011,JUN FY2011,2046,2020-06-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2011,JUL FY2011,4407,2020-07-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,AUG FY2011,1470,2020-08-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,SEP FY2011,1980,2020-09-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,OCT FY2011,3708,2020-10-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2011,NOV FY2011,3468,2020-11-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2011,DEC FY2011,2975,2020-12-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2012,JAN FY2012,2583,2021-01-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2012,FEB FY2012,1714,2021-02-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2012,MAR FY2012,1499,2021-03-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2012,APR FY2012,2537,2021-04-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2012,MAY FY2012,2253,2021-05-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2012,JUN FY2012,1937,2021-06-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2012,JUL FY2012,4089,2021-07-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,AUG FY2012,1830,2021-08-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,SEP FY2012,2100,2021-09-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,OCT FY2012,2946,2021-10-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2012,NOV FY2012,2627,2021-11-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2012,DEC FY2012,2715,2021-12-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2022,JAN FY2022,3772,2022-01-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,AUG FY2022,1357,2022-08-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,SEP FY2022,1773,2022-09-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,OCT FY2022,5431,2022-10-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2022,NOV FY2022,2809,2022-11-01
CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2022,DEC FY2022,2336,2022-12-01
