Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2008,JUL FY2008,3,2018-07-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2007,JAN FY2007,307,2019-01-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2007,FEB FY2007,409,2019-02-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2007,MAR FY2007,433,2019-03-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2007,APR FY2007,683,2019-04-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,MAY FY2007,822,2019-05-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,JUN FY2007,812,2019-06-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,JUL FY2007,1391,2019-07-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2007,AUG FY2007,6,2019-08-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2007,SEP FY2007,250,2019-09-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2007,OCT FY2007,293,2019-10-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2007,NOV FY2007,317,2019-11-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2007,DEC FY2007,787,2019-12-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2011,JAN FY2011,922,2020-01-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2011,FEB FY2011,927,2020-02-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2011,MAR FY2011,905,2020-03-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2011,APR FY2011,1284,2020-04-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2011,MAY FY2011,615,2020-05-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2011,JUN FY2011,597,2020-06-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2011,JUL FY2011,1458,2020-07-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2011,AUG FY2011,484,2020-08-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2011,SEP FY2011,680,2020-09-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2011,OCT FY2011,1528,2020-10-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2011,NOV FY2011,905,2020-11-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2011,DEC FY2011,956,2020-12-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2012,JAN FY2012,896,2021-01-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2012,FEB FY2012,724,2021-02-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2012,MAR FY2012,1054,2021-03-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2012,APR FY2012,934,2021-04-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2012,MAY FY2012,746,2021-05-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2012,JUN FY2012,682,2021-06-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2012,JUL FY2012,2029,2021-07-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2012,AUG FY2012,352,2021-08-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2012,SEP FY2012,686,2021-09-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2012,OCT FY2012,1643,2021-10-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2012,NOV FY2012,1019,2021-11-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2012,DEC FY2012,1018,2021-12-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2022,JAN FY2022,1247,2022-01-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2022,AUG FY2022,598,2022-08-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2022,SEP FY2022,977,2022-09-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2022,OCT FY2022,2402,2022-10-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2022,NOV FY2022,1192,2022-11-01
CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2022,DEC FY2022,1150,2022-12-01
