Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2011,JAN FY2011,136,2020-01-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,FEB FY2011,198,2020-02-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,MAR FY2011,392,2020-03-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,APR FY2011,913,2020-04-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,MAY FY2011,571,2020-05-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,JUN FY2011,526,2020-06-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,JUL FY2011,1230,2020-07-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,JAN FY2012,3637,2021-01-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,FEB FY2012,948,2021-02-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,MAR FY2012,1396,2021-03-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,APR FY2012,1584,2021-04-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,MAY FY2012,1077,2021-05-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,JUN FY2012,2535,2021-06-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,JUL FY2012,3168,2021-07-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,AUG FY2012,727,2021-08-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,SEP FY2012,717,2021-09-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,OCT FY2012,1015,2021-10-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,NOV FY2012,846,2021-11-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,DEC FY2012,1001,2021-12-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2022,JAN FY2022,3148,2022-01-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,AUG FY2022,1240,2022-08-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,SEP FY2022,2434,2022-09-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,OCT FY2022,2263,2022-10-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2022,NOV FY2022,1023,2022-11-01
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2022,DEC FY2022,1225,2022-12-01
