Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2007,FEB FY2007,0,2019-02-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,JAN FY2011,313,2020-01-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,FEB FY2011,180,2020-02-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,MAR FY2011,516,2020-03-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,APR FY2011,697,2020-04-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,MAY FY2011,297,2020-05-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,JUN FY2011,416,2020-06-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,JUL FY2011,1331,2020-07-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,NOV FY2011,327,2020-11-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,DEC FY2011,407,2020-12-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,JAN FY2012,439,2021-01-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,FEB FY2012,301,2021-02-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,MAR FY2012,389,2021-03-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,APR FY2012,299,2021-04-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,MAY FY2012,201,2021-05-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,JUN FY2012,316,2021-06-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,JUL FY2012,656,2021-07-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,AUG FY2012,345,2021-08-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,SEP FY2012,380,2021-09-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,OCT FY2012,440,2021-10-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,NOV FY2012,577,2021-11-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,DEC FY2012,670,2021-12-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2022,JAN FY2022,201,2022-01-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,AUG FY2022,199,2022-08-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,SEP FY2022,411,2022-09-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,OCT FY2022,364,2022-10-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2022,NOV FY2022,239,2022-11-01
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2022,DEC FY2022,275,2022-12-01
