Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CVEBU,CTSQS,CS-T10-TS+,Q2 FY2012,JAN FY2012,3326,2021-01-01
CVEBU,CTSQS,CS-T10-TS+,Q3 FY2012,FEB FY2012,5033,2021-02-01
CVEBU,CTSQS,CS-T10-TS+,Q3 FY2012,MAR FY2012,7194,2021-03-01
CVEBU,CTSQS,CS-T10-TS+,Q3 FY2012,APR FY2012,9517,2021-04-01
CVEBU,CTSQS,CS-T10-TS+,Q4 FY2012,MAY FY2012,7669,2021-05-01
CVEBU,CTSQS,CS-T10-TS+,Q4 FY2012,JUN FY2012,7686,2021-06-01
CVEBU,CTSQS,CS-T10-TS+,Q4 FY2012,JUL FY2012,17560,2021-07-01
CVEBU,CTSQS,CS-T10-TS+,Q2 FY2012,NOV FY2012,1,2021-11-01
CVEBU,CTSQS,CS-T10-TS+,Q2 FY2012,DEC FY2012,202,2021-12-01
CVEBU,CTSQS,CS-T10-TS+,Q2 FY2022,JAN FY2022,13274,2022-01-01
CVEBU,CTSQS,CS-T10-TS+,Q1 FY2022,AUG FY2022,7314,2022-08-01
CVEBU,CTSQS,CS-T10-TS+,Q1 FY2022,SEP FY2022,8346,2022-09-01
CVEBU,CTSQS,CS-T10-TS+,Q1 FY2022,OCT FY2022,18719,2022-10-01
CVEBU,CTSQS,CS-T10-TS+,Q2 FY2022,NOV FY2022,10436,2022-11-01
CVEBU,CTSQS,CS-T10-TS+,Q2 FY2022,DEC FY2022,10519,2022-12-01
