Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2011,MAR FY2011,2,2020-03-01
CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2011,APR FY2011,2,2020-04-01
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,MAY FY2011,12,2020-05-01
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,JUN FY2011,0,2020-06-01
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,JUL FY2011,0,2020-07-01
CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,JAN FY2012,542,2021-01-01
CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,FEB FY2012,370,2021-02-01
CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,MAR FY2012,412,2021-03-01
CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,APR FY2012,588,2021-04-01
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,MAY FY2012,442,2021-05-01
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUN FY2012,538,2021-06-01
CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUL FY2012,1372,2021-07-01
CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,AUG FY2012,2,2021-08-01
CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,SEP FY2012,258,2021-09-01
CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,OCT FY2012,644,2021-10-01
CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,NOV FY2012,448,2021-11-01
CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,DEC FY2012,476,2021-12-01
CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,JAN FY2022,664,2022-01-01
CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,AUG FY2022,464,2022-08-01
CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,SEP FY2022,430,2022-09-01
CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,OCT FY2022,730,2022-10-01
CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,NOV FY2022,518,2022-11-01
CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,DEC FY2022,560,2022-12-01
