Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2011,FEB FY2011,1312,2020-02-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2011,MAR FY2011,3048,2020-03-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2011,APR FY2011,3976,2020-04-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2011,MAY FY2011,1712,2020-05-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2011,JUN FY2011,2704,2020-06-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2011,JUL FY2011,6640,2020-07-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,JAN FY2012,4080,2021-01-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2012,FEB FY2012,2528,2021-02-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2012,MAR FY2012,2656,2021-03-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2012,APR FY2012,4616,2021-04-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,MAY FY2012,3240,2021-05-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,JUN FY2012,3816,2021-06-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,JUL FY2012,10360,2021-07-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,AUG FY2012,1504,2021-08-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,SEP FY2012,2296,2021-09-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,OCT FY2012,4760,2021-10-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,NOV FY2012,2872,2021-11-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,DEC FY2012,3192,2021-12-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2022,JAN FY2022,4888,2022-01-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,AUG FY2022,2920,2022-08-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,SEP FY2022,3008,2022-09-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,OCT FY2022,5160,2022-10-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2022,NOV FY2022,3808,2022-11-01
CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2022,DEC FY2022,3976,2022-12-01
