Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2008,JUN FY2008,3,2018-06-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2008,JUL FY2008,25,2018-07-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2007,JAN FY2007,50,2019-01-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2007,FEB FY2007,18,2019-02-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2007,MAR FY2007,76,2019-03-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2007,APR FY2007,41,2019-04-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2007,MAY FY2007,14,2019-05-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2007,JUN FY2007,9,2019-06-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2007,JUL FY2007,91,2019-07-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2007,AUG FY2007,60,2019-08-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2007,SEP FY2007,12,2019-09-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2007,OCT FY2007,69,2019-10-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2007,NOV FY2007,75,2019-11-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2007,DEC FY2007,30,2019-12-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2011,JAN FY2011,97,2020-01-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2011,FEB FY2011,63,2020-02-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2011,MAR FY2011,40,2020-03-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2011,APR FY2011,329,2020-04-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2011,MAY FY2011,132,2020-05-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2011,JUN FY2011,79,2020-06-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2011,JUL FY2011,208,2020-07-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2011,AUG FY2011,41,2020-08-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2011,SEP FY2011,28,2020-09-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2011,OCT FY2011,93,2020-10-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2011,NOV FY2011,68,2020-11-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2011,DEC FY2011,107,2020-12-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2012,JAN FY2012,213,2021-01-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2012,FEB FY2012,48,2021-02-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2012,MAR FY2012,141,2021-03-01
ECBU,MDS9000,DS-C9396T-K9,Q3 FY2012,APR FY2012,175,2021-04-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2012,MAY FY2012,57,2021-05-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2012,JUN FY2012,121,2021-06-01
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2012,JUL FY2012,82,2021-07-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2012,AUG FY2012,174,2021-08-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2012,SEP FY2012,191,2021-09-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2012,OCT FY2012,62,2021-10-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2012,NOV FY2012,35,2021-11-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2012,DEC FY2012,61,2021-12-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2022,JAN FY2022,454,2022-01-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2022,AUG FY2022,46,2022-08-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2022,SEP FY2022,159,2022-09-01
ECBU,MDS9000,DS-C9396T-K9,Q1 FY2022,OCT FY2022,82,2022-10-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2022,NOV FY2022,228,2022-11-01
ECBU,MDS9000,DS-C9396T-K9,Q2 FY2022,DEC FY2022,502,2022-12-01
