Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2002,APR FY2002,322,2017-04-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2002,MAY FY2002,62,2017-05-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2002,JUN FY2002,535,2017-06-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2002,JUL FY2002,138,2017-07-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,JAN FY2008,375,2018-01-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2008,FEB FY2008,407,2018-02-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2008,MAR FY2008,373,2018-03-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2008,APR FY2008,342,2018-04-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2008,MAY FY2008,135,2018-05-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2008,JUN FY2008,207,2018-06-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2008,JUL FY2008,484,2018-07-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,AUG FY2008,21,2018-08-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,SEP FY2008,76,2018-09-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,OCT FY2008,60,2018-10-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,NOV FY2008,72,2018-11-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,DEC FY2008,274,2018-12-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,JAN FY2007,418,2019-01-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2007,FEB FY2007,763,2019-02-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2007,MAR FY2007,323,2019-03-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2007,APR FY2007,8,2019-04-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,MAY FY2007,208,2019-05-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,JUN FY2007,148,2019-06-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,JUL FY2007,689,2019-07-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,AUG FY2007,124,2019-08-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,SEP FY2007,193,2019-09-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,OCT FY2007,250,2019-10-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,NOV FY2007,311,2019-11-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,DEC FY2007,402,2019-12-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,JAN FY2011,827,2020-01-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2011,FEB FY2011,788,2020-02-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2011,MAR FY2011,281,2020-03-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2011,APR FY2011,1200,2020-04-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2011,MAY FY2011,48,2020-05-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2011,JUN FY2011,293,2020-06-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2011,JUL FY2011,1522,2020-07-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,AUG FY2011,101,2020-08-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,SEP FY2011,304,2020-09-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,OCT FY2011,681,2020-10-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,NOV FY2011,159,2020-11-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,DEC FY2011,310,2020-12-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2012,JAN FY2012,407,2021-01-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2012,FEB FY2012,875,2021-02-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2012,MAR FY2012,758,2021-03-01
ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2012,APR FY2012,502,2021-04-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2012,MAY FY2012,441,2021-05-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2012,JUN FY2012,66,2021-06-01
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2012,JUL FY2012,1394,2021-07-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,AUG FY2012,487,2021-08-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,SEP FY2012,495,2021-09-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,OCT FY2012,253,2021-10-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2012,NOV FY2012,624,2021-11-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2012,DEC FY2012,1225,2021-12-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2022,JAN FY2022,443,2022-01-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,AUG FY2022,777,2022-08-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,SEP FY2022,697,2022-09-01
ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,OCT FY2022,452,2022-10-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2022,NOV FY2022,703,2022-11-01
ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2022,DEC FY2022,578,2022-12-01
