Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2007,MAR FY2007,0,2019-03-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2007,APR FY2007,0,2019-04-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,MAY FY2007,0,2019-05-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,JUN FY2007,2,2019-06-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,JUL FY2007,86,2019-07-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2011,JAN FY2011,124,2020-01-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2011,FEB FY2011,188,2020-02-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2011,MAR FY2011,377,2020-03-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2011,APR FY2011,482,2020-04-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2011,MAY FY2011,193,2020-05-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2011,JUN FY2011,229,2020-06-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2011,JUL FY2011,370,2020-07-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2011,AUG FY2011,26,2020-08-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2011,SEP FY2011,41,2020-09-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2011,OCT FY2011,116,2020-10-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2011,NOV FY2011,92,2020-11-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2011,DEC FY2011,146,2020-12-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2012,JAN FY2012,298,2021-01-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2012,FEB FY2012,156,2021-02-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2012,MAR FY2012,245,2021-03-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2012,APR FY2012,204,2021-04-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2012,MAY FY2012,140,2021-05-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2012,JUN FY2012,205,2021-06-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2012,JUL FY2012,279,2021-07-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2012,AUG FY2012,130,2021-08-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2012,SEP FY2012,160,2021-09-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2012,OCT FY2012,323,2021-10-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2012,NOV FY2012,187,2021-11-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2012,DEC FY2012,178,2021-12-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2022,JAN FY2022,229,2022-01-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2022,AUG FY2022,107,2022-08-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2022,SEP FY2022,148,2022-09-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2022,OCT FY2022,293,2022-10-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2022,NOV FY2022,183,2022-11-01
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2022,DEC FY2022,127,2022-12-01
