Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,SFPGE,GLC-TE,Q2 FY2015,JAN FY2015,44,2015-01-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2015,FEB FY2015,20,2015-02-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2015,MAR FY2015,2,2015-03-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2015,APR FY2015,62,2015-04-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2015,MAY FY2015,4,2015-05-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2015,JUN FY2015,96,2015-06-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2015,JUL FY2015,96,2015-07-01
TOASTBU,SFPGE,GLC-TE,Q2 FY2022,JAN FY2022,660,2016-01-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2022,FEB FY2022,788,2016-02-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2022,MAR FY2022,888,2016-03-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2022,APR FY2022,1047,2016-04-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2022,MAY FY2022,692,2016-05-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2022,JUN FY2022,7187,2016-06-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2022,JUL FY2022,44904,2016-07-01
TOASTBU,SFPGE,GLC-TE,Q1 FY2022,AUG FY2022,0,2016-08-01
TOASTBU,SFPGE,GLC-TE,Q1 FY2022,SEP FY2022,30,2016-09-01
TOASTBU,SFPGE,GLC-TE,Q1 FY2022,OCT FY2022,61,2016-10-01
TOASTBU,SFPGE,GLC-TE,Q2 FY2022,NOV FY2022,78,2016-11-01
TOASTBU,SFPGE,GLC-TE,Q2 FY2022,DEC FY2022,650,2016-12-01
TOASTBU,SFPGE,GLC-TE,Q2 FY2002,JAN FY2002,163767,2017-01-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2002,FEB FY2002,30807,2017-02-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2002,MAR FY2002,58394,2017-03-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2002,APR FY2002,71852,2017-04-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2002,MAY FY2002,43461,2017-05-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2002,JUN FY2002,59915,2017-06-01
TOASTBU,SFPGE,GLC-TE,Q4 FY2002,JUL FY2002,107164,2017-07-01
TOASTBU,SFPGE,GLC-TE,Q1 FY2002,AUG FY2002,11287,2017-08-01
TOASTBU,SFPGE,GLC-TE,Q1 FY2002,SEP FY2002,24918,2017-09-01
TOASTBU,SFPGE,GLC-TE,Q1 FY2002,OCT FY2002,57064,2017-10-01
TOASTBU,SFPGE,GLC-TE,Q2 FY2002,NOV FY2002,28936,2017-11-01
TOASTBU,SFPGE,GLC-TE,Q2 FY2002,DEC FY2002,43497,2017-12-01
TOASTBU,SFPGE,GLC-TE,Q2 FY2008,JAN FY2008,254439,2018-01-01
TOASTBU,SFPGE,GLC-TE,Q3 FY2008,FEB FY2008,75219,2018-02-01
