Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2011,MAY FY2011,16,2020-05-01
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2011,JUN FY2011,0,2020-06-01
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2011,JUL FY2011,32,2020-07-01
CSA,HXCPU,HX-CPU-I6258R,Q2 FY2012,JAN FY2012,124,2021-01-01
CSA,HXCPU,HX-CPU-I6258R,Q3 FY2012,FEB FY2012,0,2021-02-01
CSA,HXCPU,HX-CPU-I6258R,Q3 FY2012,MAR FY2012,44,2021-03-01
CSA,HXCPU,HX-CPU-I6258R,Q3 FY2012,APR FY2012,142,2021-04-01
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,MAY FY2012,46,2021-05-01
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,JUN FY2012,204,2021-06-01
CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,JUL FY2012,64,2021-07-01
CSA,HXCPU,HX-CPU-I6258R,Q1 FY2012,AUG FY2012,16,2021-08-01
CSA,HXCPU,HX-CPU-I6258R,Q1 FY2012,SEP FY2012,40,2021-09-01
CSA,HXCPU,HX-CPU-I6258R,Q1 FY2012,OCT FY2012,28,2021-10-01
CSA,HXCPU,HX-CPU-I6258R,Q2 FY2012,NOV FY2012,80,2021-11-01
CSA,HXCPU,HX-CPU-I6258R,Q2 FY2012,DEC FY2012,526,2021-12-01
CSA,HXCPU,HX-CPU-I6258R,Q2 FY2022,JAN FY2022,62,2022-01-01
CSA,HXCPU,HX-CPU-I6258R,Q1 FY2022,AUG FY2022,0,2022-08-01
CSA,HXCPU,HX-CPU-I6258R,Q1 FY2022,SEP FY2022,12,2022-09-01
CSA,HXCPU,HX-CPU-I6258R,Q1 FY2022,OCT FY2022,86,2022-10-01
CSA,HXCPU,HX-CPU-I6258R,Q2 FY2022,NOV FY2022,12,2022-11-01
CSA,HXCPU,HX-CPU-I6258R,Q2 FY2022,DEC FY2022,684,2022-12-01
