Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2002,JUL FY2002,154,2017-07-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,JAN FY2008,1669,2018-01-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2008,FEB FY2008,1418,2018-02-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2008,MAR FY2008,683,2018-03-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2008,APR FY2008,2617,2018-04-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2008,MAY FY2008,650,2018-05-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2008,JUN FY2008,1487,2018-06-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2008,JUL FY2008,2622,2018-07-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2008,OCT FY2008,416,2018-10-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,NOV FY2008,880,2018-11-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,DEC FY2008,332,2018-12-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2007,JAN FY2007,2870,2019-01-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2007,FEB FY2007,914,2019-02-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2007,MAR FY2007,2148,2019-03-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2007,APR FY2007,7024,2019-04-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2007,MAY FY2007,2637,2019-05-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2007,JUN FY2007,3521,2019-06-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2007,JUL FY2007,8237,2019-07-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,AUG FY2007,1185,2019-08-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,SEP FY2007,825,2019-09-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,OCT FY2007,2201,2019-10-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2007,NOV FY2007,2399,2019-11-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2007,DEC FY2007,3152,2019-12-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2011,JAN FY2011,4684,2020-01-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2011,FEB FY2011,1542,2020-02-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2011,MAR FY2011,2419,2020-03-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2011,APR FY2011,2424,2020-04-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2011,MAY FY2011,3296,2020-05-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2011,JUN FY2011,2318,2020-06-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2011,JUL FY2011,4903,2020-07-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,AUG FY2011,2985,2020-08-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,SEP FY2011,461,2020-09-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,OCT FY2011,7508,2020-10-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2011,NOV FY2011,3245,2020-11-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2011,DEC FY2011,1953,2020-12-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2012,JAN FY2012,1590,2021-01-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2012,FEB FY2012,923,2021-02-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2012,MAR FY2012,1992,2021-03-01
CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2012,APR FY2012,1905,2021-04-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,MAY FY2012,1694,2021-05-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,JUN FY2012,1398,2021-06-01
CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,JUL FY2012,3044,2021-07-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,AUG FY2012,1346,2021-08-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,SEP FY2012,2468,2021-09-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,OCT FY2012,2870,2021-10-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2012,NOV FY2012,2133,2021-11-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2012,DEC FY2012,1280,2021-12-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2022,JAN FY2022,1643,2022-01-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,AUG FY2022,1106,2022-08-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,SEP FY2022,2230,2022-09-01
CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,OCT FY2022,1865,2022-10-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2022,NOV FY2022,2098,2022-11-01
CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2022,DEC FY2022,1485,2022-12-01
